GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00199664	1	1	2	2	2	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00023256	6	1	4	2	2	2	1
WBGene00016797	33	2	18	19	12	20	10
WBGene00023257	1	1	2	2	5	1	1
WBGene00016798	3	2	2	2	2	1	3
WBGene00219437	3	1	2	2	7	2	1
WBGene00016796	571	180	634	497	821	930	918
WBGene00198147	1	1	2	2	2	1	1
WBGene00198949	5	1	10	4	5	1	2
WBGene00022426	412	414	326	257	263	476	510
WBGene00022428	163	68	111	108	86	264	249
WBGene00198533	1	1	2	2	5	1	1
WBGene00197287	1	1	2	2	2	1	1
WBGene00007020	254	68	119	104	167	289	236
WBGene00196875	1	1	2	2	2	1	1
WBGene00022427	1010	1283	1118	1133	1382	989	951
WBGene00196976	1	1	2	4	2	1	1
WBGene00202019	1	2	2	2	2	1	1
WBGene00001104	116	20	54	43	84	33	31
WBGene00023163	8	2	2	2	10	6	6
WBGene00001103	38	12	16	25	31	5	7
WBGene00021123	28	16	54	44	43	51	55
WBGene00044463	3	52	4	4	7	14	9
WBGene00021122	8	1	6	2	2	4	1
WBGene00021121	50	99	32	23	50	24	26
WBGene00021120	5	2	2	6	5	2	2
WBGene00009521	1308	698	1180	955	1177	1587	1593
WBGene00044908	17	2	6	4	7	2	3
WBGene00009522	17	7	24	27	26	12	9
WBGene00009523	25	4	42	29	36	25	18
WBGene00009524	18	1	2	4	5	4	1
WBGene00009518	95	14	48	48	41	33	35
WBGene00009519	6	2	6	6	2	1	1
WBGene00045003	1	1	2	2	2	1	1
WBGene00009517	14	6	20	8	10	7	4
WBGene00009520	3	3	14	12	12	2	2
WBGene00045037	3	1	2	2	2	1	1
WBGene00009526	28	21	22	33	24	40	75
WBGene00009525	3	2	2	2	10	1	1
WBGene00009515	76	20	42	56	55	29	17
WBGene00007476	161	217	77	70	53	197	185
WBGene00022425	1439	912	1019	909	1072	1811	1692
WBGene00018776	3340	8434	2681	2495	2549	2015	2252
WBGene00018778	4325	8854	3533	3152	3289	3176	3456
WBGene00018777	455	408	326	259	353	522	545
WBGene00023291	17	4	24	14	24	14	17
WBGene00019054	3	1	6	4	5	1	1
WBGene00019053	1	1	4	2	7	1	1
WBGene00004338	488	349	159	143	177	827	719
WBGene00000678	189	182	66	79	69	158	138
WBGene00023304	3	1	2	2	2	1	1
WBGene00166535	4	4	2	2	2	9	3
WBGene00000679	14	27	10	6	2	11	8
WBGene00200943	1	1	2	2	2	1	1
WBGene00023305	5	1	2	4	2	1	1
WBGene00199889	1	7	2	2	2	1	1
WBGene00019052	4	8	4	2	2	2	1
WBGene00219265	5	1	2	2	2	11	4
WBGene00023397	9	4	2	2	2	26	15
WBGene00022423	244	129	365	294	296	257	301
WBGene00023202	121	1	4	2	2	10	3
WBGene00198926	1	1	2	2	2	2	1
WBGene00022314	28	2	20	19	21	6	7
WBGene00023392	1	1	2	2	2	2	1
WBGene00022309	85	2	16	12	14	42	37
WBGene00022310	1343	451	1255	1112	1174	1350	1394
WBGene00199927	1	1	2	2	2	1	1
WBGene00002180	288	219	91	108	134	214	219
WBGene00022311	17	7	8	10	7	7	6
WBGene00022312	20	7	20	15	19	9	5
WBGene00235266	10	2	12	6	2	5	3
WBGene00235267	32	9	28	12	38	17	23
WBGene00000546	83	31	60	52	55	24	16
WBGene00000547	1612	2021	1158	1166	1065	1286	1385
WBGene00022308	5	2	6	2	7	4	2
WBGene00022307	353	640	274	294	332	305	397
WBGene00000680	12779	9657	2477	2216	2246	5083	4134
WBGene00022313	46	63	44	44	74	23	27
WBGene00023393	1	2	2	2	2	1	1
WBGene00220213	10	12	10	2	2	92	72
WBGene00023394	4	1	2	4	2	1	1
WBGene00044464	8	3	4	4	5	2	1
WBGene00199030	1	1	2	2	2	1	1
WBGene00003806	655	560	276	257	255	700	645
WBGene00022306	1394	1709	920	810	921	907	1093
WBGene00198503	1	1	2	2	2	1	1
WBGene00019368	1117	171	659	596	616	260	329
WBGene00023094	604	1	6	4	5	6	2
WBGene00197920	1	1	2	2	7	2	1
WBGene00195475	3	1	2	2	2	1	1
WBGene00044719	33	5	12	21	21	6	6
WBGene00019369	8	6	2	4	5	1	2
WBGene00019367	10	4	4	8	2	8	5
WBGene00019370	17	120	30	25	33	14	18
WBGene00195474	1	1	2	2	2	1	1
WBGene00201161	1	1	2	2	2	1	1
WBGene00016427	158	42	135	104	146	146	144
WBGene00000681	146	349	73	104	103	334	277
WBGene00044073	47	18	58	58	62	28	32
WBGene00016425	53	36	44	39	33	50	35
WBGene00016424	41	14	28	29	24	31	23
WBGene00021520	11	21	26	27	41	13	12
WBGene00021519	10	3	4	4	7	9	7
WBGene00021518	123	44	44	43	48	66	84
WBGene00021517	10	4	6	6	5	5	2
WBGene00003794	3959	3371	4202	3516	3955	5118	5025
WBGene00220152	67	17	70	52	43	125	109
WBGene00220153	253	394	216	168	253	346	406
WBGene00021516	46	17	24	14	21	5	11
WBGene00000416	699	467	628	453	664	1025	1080
WBGene00021515	188	103	109	101	95	107	128
WBGene00021514	1856	3999	1202	1220	1179	648	853
WBGene00001105	53	77	34	41	48	24	31
WBGene00003712	123	50	101	70	112	70	53
WBGene00021521	13	2	14	19	26	9	16
WBGene00003682	31	5	46	41	50	26	30
WBGene00003677	90	115	81	110	72	37	39
WBGene00045255	29	11	42	41	43	28	22
WBGene00202209	3	1	2	4	2	1	2
WBGene00199574	1	1	2	2	2	1	1
WBGene00219752	1	1	2	2	2	1	1
WBGene00021525	46	45	32	33	29	17	13
WBGene00021513	20	16	8	6	10	15	20
WBGene00021522	594	385	643	474	611	765	759
WBGene00003297	3	1	8	6	12	2	1
WBGene00220154	6	1	18	10	24	1	1
WBGene00004497	1714	450	556	468	501	2845	2453
WBGene00021512	1240	3843	848	698	666	1391	1418
WBGene00220155	3	1	4	2	2	14	3
WBGene00021511	8	7	6	4	7	5	9
WBGene00021524	9	5	8	12	12	9	2
WBGene00200640	1	1	2	2	2	1	1
WBGene00197111	1	2	2	2	2	1	1
WBGene00044618	10	7	6	4	5	5	7
WBGene00019538	8	5	6	6	7	6	10
WBGene00003947	1163	388	745	646	840	3121	3567
WBGene00019537	2510	1588	1007	1060	1045	1989	1801
WBGene00019536	13	12	14	6	10	18	15
WBGene00019540	18026	668	35145	32477	36115	6110	5751
WBGene00044293	3	11	4	2	2	7	4
WBGene00195004	4	2	10	2	5	3	2
WBGene00021507	1563	638	1452	1327	1339	1681	1679
WBGene00021508	311	152	197	159	196	333	297
WBGene00021506	1411	4010	1356	1035	1201	2170	2074
WBGene00021509	48	30	93	81	69	47	36
WBGene00021505	85	55	70	64	86	15	23
WBGene00000682	25	41	26	23	26	25	6
WBGene00021504	10	1	2	4	5	4	1
WBGene00021510	131	85	135	145	136	141	128
WBGene00198094	8	1	6	10	12	2	1
WBGene00021410	80	70	70	68	100	58	53
WBGene00004913	19	34	34	23	10	26	20
WBGene00000683	145	129	52	46	57	154	156
WBGene00195012	1	2	2	2	2	1	1
WBGene00000553	78	21	77	54	67	16	18
WBGene00019462	57	57	56	43	67	37	36
WBGene00197160	3	1	6	4	7	1	1
WBGene00198204	1	1	2	2	2	1	1
WBGene00001173	5633	5345	4502	3732	4339	4312	4928
WBGene00201394	3	7	2	6	2	4	5
WBGene00001186	555	318	558	422	535	568	721
WBGene00198086	5	7	2	2	2	2	2
WBGene00195510	3	7	2	4	2	1	1
WBGene00196527	1	9	2	2	2	2	2
WBGene00001253	71	34	75	48	64	34	42
WBGene00018681	1753	1561	1597	1361	1781	2017	1906
WBGene00018680	113	37	52	50	74	117	84
WBGene00018679	778	2330	419	389	306	493	560
WBGene00138717	408	133	195	172	193	213	223
WBGene00018678	521	364	274	271	341	534	557
WBGene00006738	132	27	58	23	38	76	72
WBGene00021655	459	209	415	350	465	642	753
WBGene00044466	65	26	24	17	29	44	48
WBGene00022298	46	129	30	25	21	19	21
WBGene00022297	325	181	141	118	150	385	420
WBGene00022302	51	62	4	15	12	13	14
WBGene00022300	1380	1744	1037	948	998	1719	1778
WBGene00220211	211	54	105	132	141	198	279
WBGene00022296	3044	6075	2657	2042	2408	3100	3229
WBGene00022301	2019	4547	1980	1737	1967	1616	1600
WBGene00022303	13	6	4	6	2	5	2
WBGene00022295	10	13	4	8	7	9	5
WBGene00201141	1	1	2	2	5	1	3
WBGene00044467	41	17	44	37	29	27	24
WBGene00019874	4	6	4	4	2	1	1
WBGene00019873	27	35	36	48	76	130	28
WBGene00255572	4	35	8	8	7	3	2
WBGene00202224	1	1	2	2	2	1	1
WBGene00019875	1439	1650	828	830	812	681	675
WBGene00044649	15	2	4	8	2	7	5
WBGene00023241	48	1	572	458	752	31	30
WBGene00023240	3	1	8	4	5	1	1
WBGene00023242	1	1	6	6	10	1	2
WBGene00022940	1	1	2	2	2	1	1
WBGene00219423	19	6	12	8	29	5	4
WBGene00000487	10	26	4	8	12	11	9
WBGene00016027	123	51	87	56	88	161	165
WBGene00016025	3	4	2	4	2	5	4
WBGene00200043	1	2	2	2	2	1	1
WBGene00016024	32	50	10	12	17	17	18
WBGene00001729	9	1	4	4	10	5	3
WBGene00199050	1	1	2	2	2	1	1
WBGene00016023	19	13	14	17	12	11	6
WBGene00077523	8	2	6	2	5	1	3
WBGene00016918	581	326	244	199	277	629	609
WBGene00235274	8	2	2	6	17	8	5
WBGene00016920	37	14	4	8	12	25	23
WBGene00001557	14	12	16	14	14	12	5
WBGene00219665	3	2	2	2	5	5	1
WBGene00016919	32	28	34	39	43	12	11
WBGene00195956	1	2	2	2	2	1	1
WBGene00201637	1	1	4	2	2	1	1
WBGene00016917	4	6	6	4	2	9	5
WBGene00198825	1	1	2	2	2	1	1
WBGene00202203	1	1	4	2	2	2	2
WBGene00201391	1	1	2	2	2	1	1
WBGene00022134	3208	7970	2951	2512	2711	2733	3104
WBGene00220196	1	2	14	6	7	2	1
WBGene00044650	807	241	969	750	905	1268	1181
WBGene00235277	3	19	6	6	7	4	5
WBGene00020208	1793	2737	2705	2201	2695	2915	2889
WBGene00202285	1	1	2	2	2	1	1
WBGene00019785	353	40	91	72	93	25	18
WBGene00019784	3	10	4	2	2	1	1
WBGene00019783	117	31	95	66	107	21	18
WBGene00019786	346	187	294	213	298	382	383
WBGene00201529	1	1	2	2	2	1	1
WBGene00196218	1	1	2	4	2	1	1
WBGene00195460	3	2	20	14	19	1	1
WBGene00198288	1	1	2	2	5	1	1
WBGene00200246	4	1	20	4	21	1	2
WBGene00199490	1	1	2	2	2	1	1
WBGene00202308	1	1	4	2	5	1	1
WBGene00200102	3	8	12	29	14	4	1
WBGene00019787	582	736	429	383	420	544	529
WBGene00002990	353	476	290	286	296	148	185
WBGene00199100	1	1	2	2	2	1	1
WBGene00021416	11	2	8	6	5	5	9
WBGene00006920	2866	4128	1309	1071	1279	1809	1753
WBGene00201693	1	2	4	2	2	1	1
WBGene00006912	2430	837	4856	3947	5917	4392	3831
WBGene00198080	3	1	2	4	2	1	1
WBGene00200681	1	2	2	2	2	1	2
WBGene00219413	18	31	12	4	10	5	11
WBGene00165356	1	1	2	2	2	1	1
WBGene00021415	141	74	56	54	67	93	86
WBGene00021417	17	3	8	10	10	2	1
WBGene00021418	109	82	97	93	48	55	68
WBGene00021425	909	305	953	729	802	808	811
WBGene00021423	1941	2370	1760	1394	1964	1895	1909
WBGene00021421	474	485	365	309	289	378	408
WBGene00021427	710	302	310	346	332	859	1026
WBGene00168399	3	1	2	2	2	1	2
WBGene00197069	18	2	2	4	5	4	2
WBGene00197860	4	3	2	2	2	5	3
WBGene00021420	1698	4229	953	922	1105	1776	2080
WBGene00021419	314	197	161	139	148	376	321
WBGene00200383	1	1	2	2	2	1	1
WBGene00199427	1	1	2	2	2	1	1
WBGene00021428	6	2	4	6	5	4	1
WBGene00219262	1	3	2	2	2	2	1
WBGene00021430	522	399	318	269	320	163	151
WBGene00202014	3	1	4	2	5	1	1
WBGene00200448	1	1	2	2	2	1	1
WBGene00023467	132341	61610	7233	7196	6767	17636	15033
WBGene00197721	1	1	2	2	2	1	1
WBGene00016671	61	30	62	68	72	36	40
WBGene00199281	1	1	2	2	5	1	2
WBGene00000402	214	42	117	72	98	45	37
WBGene00199996	1	2	4	2	2	1	1
WBGene00235340	72	60	123	104	138	63	78
WBGene00200790	1	1	2	2	2	1	1
WBGene00201607	1	1	4	2	2	1	1
WBGene00016670	28	4	10	14	7	4	2
WBGene00016669	15	11	2	6	2	10	8
WBGene00016668	3	5	2	2	2	1	1
WBGene00001705	10	46	4	4	2	16	14
WBGene00195361	1	1	2	2	2	2	1
WBGene00197919	1	1	2	2	2	1	1
WBGene00044468	198	7	62	70	84	40	36
WBGene00235299	1	1	2	2	5	1	1
WBGene00022090	216	32	171	133	167	20	23
