gene_id_names,HS_J2,HS_INP,N2_J2,N2_INP,OK_J2,OK_INP
WBGene00001940,1,0,0,0,0,0
WBGene00017037,1,0,0,0,0,1
WBGene00011269,1,0,0,0,0,0
WBGene00007966,1,0,0,0,0,0
WBGene00011561,1,0,0,0,0,0
WBGene00170574,1,0,0,0,0,0
WBGene00050206,1,0,0,0,0,0
WBGene00008748,1,0,1,1,1,1
WBGene00014508,1,0,0,0,0,0
WBGene00199051,1,0,0,0,0,0
WBGene00196263,1,0,0,0,0,0
WBGene00022569,1,0,0,0,0,0
WBGene00012559,1,0,0,0,0,0
WBGene00023125,1,0,0,0,0,0
WBGene00006863,1,0,0,0,0,0
WBGene00005292,1,0,0,0,0,0
WBGene00021456,1,0,0,0,0,0
WBGene00012665,1,0,0,0,0,1
WBGene00014408,1,0,0,0,0,0
WBGene00235160,1,0,0,0,0,0
WBGene00235159,1,0,0,0,0,0
WBGene00015366,1,0,0,0,0,0
WBGene00017930,1,0,1,1,1,1
WBGene00003766,1,0,0,1,0,0
WBGene00007956,1,0,0,0,0,1
WBGene00012299,1,0,0,0,0,0
WBGene00003229,1,0,1,1,1,1
WBGene00022497,1,0,0,0,0,0
WBGene00021817,1,0,0,0,0,0
WBGene00045127,1,0,0,0,0,0
WBGene00021382,1,0,0,0,0,0
WBGene00007022,1,0,0,0,0,0
WBGene00006530,1,0,0,0,0,0
WBGene00009692,1,0,0,0,0,0
WBGene00009656,1,0,0,1,0,1
WBGene00013094,1,0,1,0,1,1
WBGene00047652,1,0,0,0,0,0
WBGene00009182,1,0,0,0,0,0
WBGene00167633,1,0,0,0,0,0
WBGene00010103,1,0,0,0,0,0
WBGene00002221,1,0,0,0,0,1
WBGene00200630,1,0,0,0,0,0
WBGene00003638,1,0,1,0,0,0
WBGene00166243,1,0,0,0,0,0
WBGene00045117,1,0,0,0,0,0
WBGene00199742,0,1,0,0,0,0
WBGene00219279,0,1,0,0,0,0
WBGene00196212,0,0,1,0,0,0
WBGene00015504,0,0,1,0,1,1
WBGene00019593,0,0,1,1,1,1
WBGene00220093,0,0,1,1,1,1
WBGene00220139,0,0,1,0,1,0
WBGene00043327,0,0,1,0,0,0
WBGene00017190,0,0,1,0,1,1
WBGene00194769,0,0,1,1,1,1
WBGene00019592,0,0,1,1,1,1
WBGene00003779,0,0,1,0,1,0
WBGene00001928,0,0,1,0,1,0
WBGene00001894,0,0,1,0,1,0
WBGene00077687,0,0,1,0,1,0
WBGene00013164,0,0,1,0,1,0
WBGene00001707,0,0,1,0,1,1
WBGene00017288,0,0,1,1,1,0
WBGene00016544,0,0,1,0,1,1
WBGene00019590,0,0,1,1,0,1
WBGene00022389,0,0,1,0,1,0
WBGene00043328,0,0,1,0,1,0
WBGene00009052,0,0,1,0,0,0
WBGene00009068,0,0,1,0,1,0
WBGene00012195,0,0,1,0,0,0
WBGene00220042,0,0,1,0,0,0
WBGene00001538,0,0,1,0,1,0
WBGene00016609,0,0,1,0,0,0
WBGene00021716,0,0,1,0,1,0
WBGene00015888,0,0,1,0,0,0
WBGene00220154,0,0,1,1,1,1
WBGene00002203,0,0,1,0,0,0
WBGene00197555,0,0,1,0,0,0
WBGene00017207,0,0,1,0,0,0
WBGene00197318,0,0,1,0,0,0
WBGene00021346,0,0,1,0,0,0
WBGene00021598,0,0,1,0,0,0
WBGene00010713,0,0,1,0,0,0
WBGene00013099,0,0,1,0,0,0
WBGene00014858,0,0,1,0,0,0
WBGene00220183,0,0,1,0,0,0
WBGene00002079,0,0,1,0,0,0
WBGene00001895,0,0,1,0,0,1
WBGene00021409,0,0,1,0,0,0
WBGene00044503,0,0,1,0,0,0
WBGene00185002,0,0,1,0,0,1
WBGene00164974,0,0,1,1,1,1
WBGene00019827,0,0,1,0,0,0
WBGene00219964,0,0,1,1,1,1
WBGene00022033,0,0,1,0,0,0
WBGene00021351,0,0,1,0,0,0
WBGene00021405,0,0,1,0,0,0
WBGene00002189,0,0,1,1,1,0
WBGene00001234,0,0,1,0,0,1
WBGene00044632,0,0,1,1,1,1
WBGene00013550,0,0,1,0,0,0
WBGene00023366,0,0,1,0,1,0
WBGene00013554,0,0,1,0,0,0
WBGene00023341,0,0,1,0,1,0
WBGene00200723,0,0,1,0,0,1
WBGene00022375,0,0,1,0,1,0
WBGene00019587,0,0,1,0,1,0
WBGene00010085,0,0,1,0,0,1
WBGene00019279,0,0,1,0,0,0
WBGene00197031,0,0,1,0,0,0
WBGene00201633,0,0,1,0,0,0
WBGene00018276,0,0,1,0,0,0
WBGene00021317,0,0,1,1,0,1
WBGene00011973,0,0,1,0,0,0
WBGene00013106,0,0,1,0,0,0
WBGene00000904,0,0,1,0,0,0
WBGene00001925,0,0,1,0,0,1
WBGene00220084,0,0,1,0,0,0
WBGene00011227,0,0,1,0,0,0
WBGene00001115,0,0,1,0,1,1
WBGene00199513,0,0,1,0,1,0
WBGene00015895,0,0,1,0,0,0
WBGene00202216,0,0,1,0,0,0
WBGene00194649,0,0,1,0,0,0
WBGene00013683,0,0,1,1,1,1
WBGene00021188,0,0,0,1,0,1
WBGene00077784,0,0,0,1,0,0
WBGene00269391,0,0,0,1,0,1
WBGene00219659,0,0,0,1,0,0
WBGene00012351,0,0,0,1,0,0
WBGene00018208,0,0,0,1,0,0
WBGene00219822,0,0,0,1,1,1
WBGene00170275,0,0,0,1,0,0
WBGene00169972,0,0,0,1,0,0
WBGene00010597,0,0,0,1,0,0
WBGene00235276,0,0,0,1,0,1
WBGene00023414,0,0,0,1,0,0
WBGene00007480,0,0,0,1,0,0
WBGene00018325,0,0,0,1,0,0
WBGene00018911,0,0,0,0,1,1
WBGene00017407,0,0,0,0,1,0
WBGene00017496,0,0,0,0,1,1
WBGene00044435,0,0,0,0,1,0
WBGene00219683,0,0,0,0,1,0
WBGene00199976,0,0,0,0,1,0
WBGene00009726,0,0,0,0,1,1
WBGene00006527,0,0,0,0,1,1
WBGene00013934,0,0,0,0,1,1
WBGene00017364,0,0,0,0,1,0
WBGene00195529,0,0,0,0,1,0
WBGene00219232,0,0,0,0,1,0
WBGene00044761,0,0,0,0,1,0
WBGene00013347,0,0,0,0,1,0
WBGene00008397,0,0,0,0,1,0
WBGene00044639,0,0,0,0,1,0
WBGene00004277,0,0,0,0,0,1
WBGene00015800,0,0,0,0,0,1
WBGene00001591,0,0,0,0,0,1
WBGene00001689,0,0,0,0,0,1
WBGene00020423,0,0,0,0,0,1
WBGene00219267,0,0,0,0,0,1
WBGene00195728,0,0,0,0,0,1
WBGene00167610,0,0,0,0,0,1
WBGene00198242,0,0,0,0,0,1
WBGene00006577,0,0,0,0,0,1
WBGene00014220,0,0,0,0,0,1
WBGene00017814,0,0,0,0,0,1
WBGene00012097,0,0,0,0,0,1
WBGene00019441,0,0,0,0,0,1
WBGene00195914,0,0,0,0,0,1
WBGene00002980,0,0,0,0,0,1
WBGene00020456,0,0,0,0,0,1
WBGene00013870,0,0,0,0,0,1
WBGene00009740,0,0,0,0,0,1
WBGene00219930,0,0,0,0,0,1
WBGene00022300,0,0,0,0,0,1
WBGene00219697,0,0,0,0,0,1
WBGene00017016,0,0,0,0,0,1
WBGene00017612,0,0,0,0,0,1
WBGene00201379,0,0,0,0,0,1
WBGene00198262,0,0,0,0,0,1
WBGene00012472,0,0,0,0,0,1
WBGene00017160,0,0,0,0,0,1
WBGene00007015,0,0,0,0,0,1
WBGene00011940,0,0,0,0,0,1
WBGene00020208,0,0,0,0,0,1
WBGene00021423,0,0,0,0,0,1
WBGene00000123,0,0,0,0,0,1
WBGene00014947,0,0,0,0,0,1
WBGene00219950,0,0,0,0,0,1
WBGene00011489,0,0,0,0,0,1
WBGene00022127,0,0,0,0,0,1
WBGene00007107,0,0,0,0,0,1
WBGene00016021,0,0,0,0,0,1
WBGene00220011,0,0,0,0,0,1
WBGene00007063,0,0,0,0,0,1
WBGene00007423,0,0,0,0,0,1
WBGene00019994,0,0,0,0,0,1
WBGene00006565,0,0,0,0,0,1
WBGene00021332,0,0,0,0,0,1
WBGene00002044,0,0,0,0,0,1
WBGene00021560,0,0,0,0,0,1
WBGene00168188,0,0,0,0,0,1
WBGene00011747,0,0,0,0,0,1
WBGene00008149,0,0,0,0,0,1
WBGene00044977,0,0,0,0,0,1
WBGene00003281,0,0,0,0,0,1
WBGene00174712,0,0,0,0,0,1
WBGene00044452,0,0,0,0,0,1
WBGene00006856,0,0,0,0,0,1
WBGene00220147,0,0,0,0,0,1
WBGene00012366,0,0,0,0,0,1
WBGene00219673,0,0,0,0,0,1
WBGene00000996,0,0,0,0,0,1
WBGene00219918,0,0,0,0,0,1
WBGene00009691,0,0,0,0,0,1
WBGene00045212,0,0,0,0,0,1
WBGene00007352,0,0,0,0,0,1
WBGene00219420,0,0,0,0,0,1
WBGene00011212,0,0,0,0,0,1
WBGene00271415,0,0,0,0,0,1
WBGene00021534,0,0,0,0,0,1
