GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00021511	6	17	4	4	2	2	1
WBGene00021524	3	3	4	6	2	2	2
WBGene00200640	1	1	2	2	2	1	1
WBGene00197111	1	1	2	2	2	1	1
WBGene00044618	3	11	6	4	2	4	1
WBGene00019538	8	7	2	2	5	1	8
WBGene00003947	23	4	18	21	21	69	117
WBGene00019537	20	4	16	4	17	14	15
WBGene00019536	19	9	4	10	5	4	1
WBGene00019540	37	136	95	128	203	38	29
WBGene00044293	5	6	4	10	7	8	6
WBGene00195004	18	2	8	19	19	4	3
WBGene00021507	8	8	16	10	10	11	16
WBGene00021508	8	2	2	12	12	9	7
WBGene00021506	13	28	12	10	26	23	14
WBGene00021509	9	87	10	15	10	13	9
WBGene00021505	22	11	16	23	26	7	4
WBGene00000682	8	4	4	4	2	1	1
WBGene00021504	5	1	2	6	5	2	2
WBGene00021510	5	5	6	4	7	5	2
WBGene00198094	1	1	2	4	2	1	1
WBGene00021410	4	2	14	15	10	5	2
WBGene00004913	3	4	4	2	10	2	1
WBGene00000683	9	2	2	4	2	3	3
WBGene00195012	1	2	2	2	2	1	1
WBGene00000553	5	2	4	4	2	4	3
WBGene00019462	24	5	4	8	5	4	2
WBGene00197160	1	1	2	2	2	1	1
WBGene00198204	3	1	6	4	7	1	1
WBGene00001173	527	38	165	335	220	123	61
WBGene00201394	3	5	4	15	10	2	3
WBGene00001186	11	21	4	8	12	13	17
WBGene00198086	1	1	6	4	5	1	1
WBGene00195510	8	2	8	6	5	1	2
WBGene00196527	3	2	4	8	5	1	2
WBGene00001253	5	14	2	4	5	3	4
WBGene00018681	19	15	22	23	29	24	20
WBGene00018680	18	2	12	14	5	5	2
WBGene00018679	6	7	8	12	12	7	9
WBGene00138717	1	1	4	10	5	2	2
WBGene00018678	8	7	6	8	12	7	9
WBGene00006738	1	7	6	8	2	2	1
WBGene00021655	6	374	18	21	14	14	7
WBGene00044466	4	1	4	2	2	1	1
WBGene00022298	5	17	4	10	10	10	5
WBGene00022297	4	2	8	6	5	7	8
WBGene00022302	1	13	8	4	10	1	2
WBGene00022300	13	332	14	8	19	8	13
WBGene00220211	1	2	2	2	2	1	1
WBGene00022296	25	10	22	14	14	33	31
WBGene00022301	18	29	24	31	12	20	19
WBGene00022303	1	4	2	2	5	1	1
WBGene00022295	11	19	18	17	21	4	5
WBGene00201141	3	1	4	4	2	1	1
WBGene00044467	1	9	6	4	7	1	1
WBGene00019874	5	2	4	4	10	4	1
WBGene00019873	11	5	6	14	2	2	3
WBGene00255572	1	3	2	2	2	1	4
WBGene00202224	3	2	4	2	2	1	1
WBGene00019875	20	12	12	10	7	8	9
WBGene00044649	4	21	2	6	5	4	1
WBGene00023241	1	1	6	6	17	1	2
WBGene00023240	1	1	4	8	5	1	1
WBGene00023242	1	1	8	8	7	1	2
WBGene00022940	1	2	2	2	2	7	1
WBGene00219423	9	2	4	4	7	3	1
WBGene00000487	11	6	8	6	2	5	2
WBGene00016027	3	15	4	4	2	2	2
WBGene00016025	3	1	2	4	2	4	2
WBGene00200043	1	1	2	2	2	1	1
WBGene00016024	6	3	2	2	2	7	2
WBGene00001729	3	16	4	4	5	2	2
WBGene00199050	1	1	2	2	2	1	1
WBGene00016023	3	680	4	21	26	63	10
WBGene00077523	1	7	4	2	5	4	2
WBGene00016918	19	3	12	12	19	16	11
WBGene00235274	6	11	22	21	31	4	3
WBGene00016920	9	1	2	4	5	4	1
WBGene00001557	5	4	6	2	12	4	3
WBGene00219665	1	1	2	4	2	1	1
WBGene00016919	4	15	4	2	2	2	1
WBGene00195956	1	1	4	2	2	1	1
WBGene00201637	1	2	2	2	2	1	1
WBGene00016917	1	1	4	2	12	4	1
WBGene00198825	1	1	4	2	2	2	2
WBGene00202203	1	1	2	2	2	1	1
WBGene00201391	1	1	2	2	2	1	1
WBGene00022134	10	21	14	15	24	20	21
WBGene00220196	1	1	2	2	2	1	1
WBGene00044650	10	5	6	8	5	11	7
WBGene00235277	6	1	8	8	14	3	1
WBGene00020208	10	169	30	35	50	50	24
WBGene00202285	6	1	14	14	10	1	2
WBGene00019785	10	5	8	6	5	14	2
WBGene00019784	1	2	2	8	2	3	3
WBGene00019783	9	12	6	2	2	4	2
WBGene00019786	13	25	12	6	21	15	9
WBGene00201529	3	1	14	15	10	2	1
WBGene00196218	3	2	20	14	19	1	1
WBGene00195460	1	1	2	4	2	1	1
