GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00004367	676	770	655	518	604	712	671
WBGene00202041	1	1	2	2	5	1	1
WBGene00201684	6	1	6	10	10	14	5
WBGene00023390	1	1	2	2	2	2	1
WBGene00195436	3	2	2	2	2	5	3
WBGene00196975	1	1	2	2	2	1	1
WBGene00022375	9	11	34	29	38	4	2
WBGene00023396	1	1	2	6	7	5	3
WBGene00022374	18	7	20	27	19	11	9
WBGene00044485	64	59	18	31	24	21	20
WBGene00043061	5	4	12	8	10	5	4
WBGene00235350	13	2	10	4	17	13	7
WBGene00219424	5	1	10	8	7	2	1
WBGene00044486	4	7	8	8	10	5	2
WBGene00169683	1	1	2	2	2	1	1
WBGene00044487	248	18	2	17	12	94	24
WBGene00235268	23	7	20	37	57	39	32
WBGene00023484	15	5	14	6	10	8	4
WBGene00043062	103	36	52	52	31	88	47
WBGene00044490	46	49	20	12	26	13	11
WBGene00021873	60	11	46	58	57	15	16
WBGene00043702	33	3	18	29	17	11	16
WBGene00044495	75	76	60	85	64	31	27
WBGene00021872	58	26	22	14	33	40	37
WBGene00021871	24	20	6	33	19	11	9
WBGene00021897	53	16	36	29	24	24	14
WBGene00189961	6	7	4	17	10	8	2
WBGene00202412	1	1	2	2	2	1	1
WBGene00197842	1	1	2	2	2	2	1
WBGene00199274	3	6	2	4	5	2	4
WBGene00200008	1	2	2	6	5	8	4
WBGene00201650	1	2	2	2	2	1	2
WBGene00197276	1	2	2	2	5	1	1
WBGene00021869	783	555	489	367	475	185	184
WBGene00003008	17	45	16	12	17	15	18
WBGene00022067	1108	1318	1188	994	1270	927	1063
WBGene00022066	3615	8	6093	16328	4332	782	76
WBGene00201412	1	1	2	2	2	1	1
WBGene00201376	5	1	2	2	2	1	1
WBGene00195576	3	1	2	2	2	1	1
WBGene00197431	1	2	2	4	2	1	1
WBGene00197636	6	3	10	8	10	5	3
WBGene00020729	516	560	449	431	470	474	443
WBGene00174542	1	1	2	2	2	1	1
WBGene00020730	8	7	22	8	31	9	5
WBGene00020728	28	10	42	29	76	10	4
WBGene00199115	10	9	18	17	31	1	2
WBGene00200723	9	1	8	6	17	2	2
WBGene00022064	13	7	6	8	10	7	2
WBGene00022059	2515	1762	5066	4421	5287	3810	3905
WBGene00197555	69	7	44	58	36	12	17
WBGene00020831	844	921	572	491	618	975	897
WBGene00201407	4	2	4	2	5	2	1
WBGene00196782	3	45	2	2	5	4	1
WBGene00021089	20	25	32	27	45	23	20
WBGene00021087	23	6	6	17	12	26	25
WBGene00021086	10	22	16	8	17	11	18
WBGene00021085	9	23	18	6	17	13	20
WBGene00021084	8	2	6	2	7	11	6
WBGene00021083	1	2	4	4	7	5	1
WBGene00018325	2103	2076	2226	2238	2026	2810	2502
WBGene00196320	1	1	2	2	2	1	1
WBGene00018324	1	1	4	4	2	1	1
WBGene00018323	15	7	12	15	7	7	4
WBGene00021953	17	3	8	4	10	5	2
WBGene00015414	18	15	16	19	12	30	22
WBGene00219410	1	2	2	2	2	1	1
WBGene00015412	22	63	12	17	19	10	3
WBGene00195724	1	1	2	2	2	1	1
WBGene00197323	1	1	2	2	2	1	1
WBGene00200140	1	1	2	2	2	1	1
WBGene00015411	1	2	2	2	2	1	1
WBGene00021033	4	2	4	8	5	4	2
WBGene00001692	301	204	373	325	368	231	230
WBGene00019049	4	2	2	2	5	3	7
WBGene00194843	1	1	4	2	2	1	1
WBGene00019051	4	2	4	2	5	1	1
WBGene00019048	24	7	18	23	29	9	5
WBGene00019047	25	15	64	44	24	12	9
WBGene00019046	9	2	2	2	2	2	1
WBGene00023301	4	4	2	10	7	2	1
WBGene00015655	4	2	4	2	2	1	3
WBGene00023463	5	1	2	4	7	2	1
WBGene00023465	19	29	2	6	7	2	3
WBGene00015654	5	2	8	12	12	2	1
WBGene00023464	1	2	10	2	2	2	1
WBGene00015652	4	2	4	4	5	1	1
WBGene00015651	29	3312	73	58	84	1318	1260
WBGene00023462	4	2	4	15	10	2	1
WBGene00199025	1	1	2	2	2	1	1
WBGene00006769	3922	1644	1509	1390	1635	1563	1471
WBGene00019778	741	659	588	456	635	856	822
WBGene00201697	1	1	2	2	2	1	1
WBGene00200460	1	2	2	4	7	1	2
WBGene00015036	9	4	2	12	7	2	2
WBGene00015035	31	40	54	39	24	38	18
WBGene00021375	94	53	56	62	48	19	30
WBGene00021374	108	28	95	118	112	24	29
WBGene00202239	1	1	2	2	2	1	1
WBGene00196540	1	1	2	2	2	1	1
WBGene00023366	5	1	64	58	72	3	3
WBGene00002188	34	7	44	29	26	14	11
WBGene00022609	19	7	10	12	12	17	21
WBGene00022608	168	103	344	342	446	111	133
WBGene00170259	1	1	2	2	2	1	1
WBGene00021360	4	1	2	4	5	3	2
WBGene00198923	1	1	2	2	2	1	1
WBGene00021359	1679	1677	1259	1097	1229	1607	1926
WBGene00021358	60	16	38	29	38	8	14
WBGene00021357	41	16	40	21	10	12	11
WBGene00021365	1824	2059	1539	1495	1606	1458	1647
WBGene00165899	1	1	2	2	7	1	1
WBGene00021368	149	106	46	37	43	65	59
WBGene00019545	5	3	8	8	12	5	5
WBGene00017907	358	23	46	79	41	13	4
WBGene00200865	10	1	2	8	7	2	1
WBGene00196594	1	2	2	4	2	1	1
WBGene00195822	1	2	2	2	2	1	1
WBGene00017906	3	4	14	10	24	7	2
WBGene00200814	1	1	2	4	2	2	1
WBGene00169432	1	1	2	2	5	1	1
WBGene00196379	11	1	6	2	2	2	1
WBGene00006970	119	50	107	118	141	63	30
WBGene00200340	3	1	2	2	5	1	1
WBGene00018144	80	44	58	35	45	78	63
WBGene00018143	18	40	12	8	7	8	10
WBGene00018142	15	21	22	19	21	12	5
WBGene00018141	9	7	6	10	14	5	3
WBGene00044471	1	2	2	2	2	3	1
WBGene00044472	4	49	4	2	2	26	29
WBGene00219307	52	14	62	35	43	72	34
WBGene00023478	5	3	10	10	12	5	3
WBGene00006488	3	1	4	2	2	1	1
WBGene00235358	4	5	2	2	2	1	1
WBGene00044474	20	2	12	8	7	2	2
WBGene00044475	28	1	12	6	7	1	1
WBGene00235297	3	1	2	2	7	1	1
WBGene00235293	19	2	4	8	7	21	5
WBGene00018973	4	4	2	2	5	1	1
WBGene00044476	8	1	4	2	2	1	1
WBGene00235361	6	1	6	6	5	1	2
WBGene00018972	3	2	6	4	5	2	1
WBGene00018970	6	6	26	27	29	16	2
WBGene00044642	17	1	10	15	12	8	4
WBGene00021581	15	9	20	19	14	23	23
WBGene00021582	4	2	4	8	7	3	1
WBGene00195003	4	2	2	4	2	1	1
WBGene00021583	18	15	20	12	21	18	18
WBGene00235362	5	3	8	2	2	10	3
WBGene00021586	85	16	133	114	167	16	7
WBGene00021587	43	10	30	29	41	5	4
WBGene00044343	5	4	16	27	7	6	2
WBGene00018548	141	12	58	64	69	9	8
WBGene00005432	4	2	6	2	2	4	1
WBGene00005433	3	3	4	6	2	2	1
WBGene00018547	613	666	983	859	890	572	487
WBGene00220113	1	12	4	2	2	1	2
WBGene00018066	3	4	2	4	5	8	5
WBGene00018065	56	3	8	12	24	6	5
WBGene00219554	11	7	22	19	31	3	4
WBGene00006173	8	5	4	8	7	1	2
WBGene00020979	4	1	8	2	7	2	1
WBGene00004157	170	89	68	112	119	100	104
WBGene00016433	14	5	2	2	2	2	3
WBGene00016432	852	739	1243	1040	1487	648	676
WBGene00016436	11	2	10	15	5	2	4
WBGene00018644	8	1	2	2	2	2	1
WBGene00235363	8	1	2	2	2	1	1
WBGene00018643	8	12	8	2	5	32	19
WBGene00019933	10	7	8	10	17	12	10
WBGene00019932	205	52	155	143	158	25	41
WBGene00019934	6	5	10	8	10	7	6
WBGene00019931	5	2	6	6	7	4	5
WBGene00019533	5	1	2	2	2	1	1
WBGene00219216	37	15	30	23	41	15	20
WBGene00019532	22	9	34	19	12	18	11
WBGene00019531	43	11	28	21	19	9	5
WBGene00019530	22	6	26	4	10	6	4
WBGene00235369	5	7	20	10	7	5	5
WBGene00019529	10	12	14	6	10	12	13
WBGene00001033	606	669	344	284	358	411	470
WBGene00235370	1	8	14	6	12	1	4
WBGene00019438	57	14	20	12	36	19	19
WBGene00023279	1	1	4	2	5	5	3
WBGene00018085	28	35	6	10	10	15	20
WBGene00000123	6610	6106	7330	6237	6865	7985	7895
WBGene00018084	10	2	14	10	7	5	3
WBGene00018083	39	6	26	17	10	2	1
WBGene00018082	6	1	6	2	10	2	2
WBGene00018081	41	2	12	12	19	2	3
WBGene00018080	4	5	2	2	7	2	1
WBGene00003336	1	1	4	2	2	1	1
WBGene00017486	1	2	2	2	2	2	1
WBGene00017485	33	12	16	8	14	11	19
WBGene00044479	22	21	4	2	7	8	9
WBGene00017484	559	1067	127	118	115	131	231
WBGene00235372	3	2	2	2	5	4	1
WBGene00017482	4495	4724	5559	4794	5421	4336	4124
WBGene00021287	58	36	52	33	62	59	35
WBGene00174298	1	1	2	2	2	1	1
WBGene00020972	53	46	32	39	41	28	14
WBGene00020971	3	5	6	4	2	4	3
WBGene00020976	23	45	30	62	36	82	56
WBGene00198353	1	1	2	2	2	1	1
WBGene00220117	80	326	24	35	21	157	162
WBGene00020974	39	37	129	141	172	47	49
WBGene00050916	6	7	6	10	2	4	6
WBGene00196315	4	7	8	8	14	27	33
WBGene00235373	658	422	1186	1052	1186	174	179
WBGene00019950	29	18	12	8	19	4	2
WBGene00019949	44	10	20	19	17	4	1
WBGene00019948	8	344	8	23	7	14	5
WBGene00019955	296	124	292	325	384	142	213
WBGene00019721	10	9	14	10	17	16	9
WBGene00195363	1	40	2	2	5	5	11
WBGene00196599	1	2	2	2	2	5	6
WBGene00197811	1	1	2	2	2	1	1
WBGene00045248	9	7	8	10	14	8	13
WBGene00200649	1	1	2	2	2	1	1
WBGene00200559	1	1	2	2	2	1	1
WBGene00198574	1	1	2	2	2	1	1
WBGene00202043	1	1	2	2	2	1	1
WBGene00200541	3	2	2	2	2	1	1
WBGene00022682	88	27	274	271	408	903	998
WBGene00017901	137	74	81	64	74	59	58
WBGene00198688	3	1	4	2	2	1	1
WBGene00017900	327	167	272	234	308	106	96
WBGene00235292	20	24	10	23	7	15	16
WBGene00044302	27	4	10	15	5	7	4
WBGene00017596	3	1	2	2	2	1	1
WBGene00017595	4	2	2	2	5	1	1
WBGene00017593	44	37	34	31	31	28	30
WBGene00017592	104	59	58	48	60	44	50
WBGene00017594	25	26	36	27	21	13	20
WBGene00169973	1	1	2	2	2	1	1
WBGene00020084	93	10	34	33	24	2	5
WBGene00235119	1	2	4	4	2	1	1
WBGene00235120	1	1	4	4	2	2	1
WBGene00017922	17	5	12	6	12	2	2
WBGene00017921	13	33	8	8	12	70	73
WBGene00017920	2422	2672	2185	1889	1998	2854	2833
WBGene00017919	205	391	139	135	124	219	234
WBGene00195370	4	1	8	4	5	4	3
WBGene00044482	9	1	18	17	14	5	8
WBGene00198742	1	2	4	4	5	1	2
WBGene00044620	24	21	48	31	41	34	41
WBGene00020675	32	16	28	46	29	27	11
WBGene00019541	13	2	8	6	5	3	5
WBGene00017118	18	5	10	6	19	2	2
WBGene00017117	24	5	18	15	31	7	3
WBGene00017116	23	10	28	29	24	6	3
WBGene00021202	755	898	286	255	308	503	609
WBGene00021201	78	134	44	43	31	90	92
WBGene00194835	10	1	8	12	10	2	2
WBGene00021200	587	941	391	290	296	912	835
WBGene00021199	13	1	4	12	7	5	4
WBGene00021198	57	15	103	85	122	18	16
WBGene00220042	32	27	58	72	50	6	8
WBGene00020004	81	14	46	60	55	16	17
WBGene00201848	1	1	2	2	2	1	1
WBGene00172645	1	1	2	2	2	1	1
WBGene00172271	1	1	2	4	2	1	1
WBGene00167230	1	1	2	2	2	1	1
WBGene00202367	1	1	2	2	2	1	1
WBGene00019162	4056	8642	3092	3168	2881	3947	4738
WBGene00005842	4	5	2	6	5	4	3
WBGene00165431	1	1	2	2	2	1	1
WBGene00005841	5	12	4	8	12	4	3
WBGene00168597	1	1	2	2	2	1	1
WBGene00171454	1	1	2	2	2	1	1
WBGene00165730	1	1	2	2	2	1	1
WBGene00173294	1	1	2	2	2	1	1
WBGene00170539	1	1	2	2	2	1	1
WBGene00171016	1	1	2	2	2	1	1
WBGene00169541	1	1	2	2	2	1	1
WBGene00169623	1	1	2	2	2	1	1
WBGene00167552	1	1	2	2	2	1	1
WBGene00165948	1	1	2	2	2	1	1
WBGene00173412	1	1	2	2	2	1	1
WBGene00172027	1	1	2	2	2	1	1
WBGene00048474	1	1	2	2	2	1	1
WBGene00174156	1	1	2	2	2	1	1
WBGene00046875	5	1	4	2	2	2	1
WBGene00047832	1	2	2	2	2	1	1
WBGene00048520	1	1	2	2	2	1	1
WBGene00171805	1	1	2	2	2	1	1
WBGene00049683	1	1	2	2	2	1	1
WBGene00201520	1	1	2	2	2	1	1
WBGene00198573	1	1	2	2	2	1	1
WBGene00168042	1	1	2	2	2	1	1
WBGene00172689	1	1	2	2	2	1	1
WBGene00169424	1	1	2	2	2	1	1
WBGene00167228	1	1	2	2	2	1	1
WBGene00046319	1	1	2	2	2	1	1
WBGene00167754	1	1	2	4	2	1	1
