GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00220153	3	1	1	1	3	1	2	1
WBGene00021516	119	22	110	89	91	31	25	33
WBGene00000416	5	5	3	6	2	1	1	3
WBGene00021515	3	1	3	1	3	1	1	1
WBGene00021514	8	2	4	3	3	1	1	1
WBGene00001105	8	4	4	1	2	1	1	2
WBGene00003712	3	2	3	1	2	1	1	1
WBGene00021521	3	1	1	3	2	1	2	1
WBGene00003682	8	1	12	19	11	4	1	4
WBGene00003677	13	2	4	8	8	2	1	3
WBGene00045255	13	2	7	5	3	3	2	1
WBGene00202209	3	1	1	1	2	1	1	1
WBGene00199574	5	1	1	3	2	1	1	2
WBGene00219752	5	2	1	3	3	1	1	1
WBGene00021525	3	2	1	1	2	1	1	2
WBGene00021513	5	2	3	4	6	1	1	1
WBGene00021522	3	2	3	3	3	1	1	2
WBGene00003297	3	1	1	1	2	1	1	1
WBGene00220154	3	1	1	1	2	1	1	1
WBGene00004497	8	3	3	3	2	2	1	1
WBGene00021512	10	12	9	11	22	6	3	7
WBGene00220155	3	1	1	1	2	1	1	1
WBGene00021511	10	1	1	1	2	1	1	1
WBGene00021524	5	1	1	3	2	1	1	1
WBGene00200640	3	1	1	1	2	1	1	1
WBGene00197111	3	1	1	1	2	1	1	1
WBGene00044618	3	1	1	1	2	1	1	1
WBGene00019538	10	2	1	1	3	1	1	1
WBGene00003947	40	16	12	14	14	4	9	4
WBGene00019537	38	11	10	3	9	1	2	1
WBGene00019536	15	1	1	4	2	1	1	1
WBGene00019540	33	8	42	43	79	10	20	22
WBGene00044293	8	7	1	6	5	1	1	1
WBGene00195004	35	4	5	13	12	4	3	7
WBGene00021507	8	7	9	5	5	3	1	2
WBGene00021508	8	3	1	4	6	2	2	1
WBGene00021506	18	12	4	6	15	2	3	3
WBGene00021509	8	7	4	8	3	6	1	2
WBGene00021505	25	7	10	15	17	4	3	3
WBGene00000682	5	2	3	3	2	1	1	1
WBGene00021504	8	2	1	3	2	1	1	1
WBGene00021510	3	1	1	3	3	1	1	1
WBGene00198094	3	1	1	1	2	1	1	1
WBGene00021410	5	1	1	4	2	1	1	1
WBGene00004913	3	1	1	1	3	1	1	2
WBGene00000683	5	1	1	3	2	1	1	1
WBGene00195012	3	1	1	1	2	1	1	1
