GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00021936	1868	694	694	522	746	199	162	161
WBGene00220183	5	3	13	11	12	1	3	1
WBGene00199601	3	1	1	3	2	1	1	1
WBGene00202216	3	1	5	1	2	1	1	1
WBGene00021942	68	26	13	11	15	9	5	3
WBGene00044742	162	55	48	29	49	22	11	17
WBGene00021943	1140	345	570	450	567	180	163	200
WBGene00201199	3	1	1	1	2	1	1	1
WBGene00023184	3	2	1	1	2	1	1	1
WBGene00021941	23	7	8	5	9	5	3	2
WBGene00021945	1019	327	190	149	201	73	36	54
WBGene00044757	43	11	8	6	9	3	3	6
WBGene00021939	498	158	146	100	131	55	46	37
WBGene00195533	3	1	1	3	2	1	1	1
WBGene00023183	18374	3787	5453	4677	6346	1149	638	755
WBGene00201671	15	4	8	15	8	1	3	2
WBGene00021938	1428	505	296	264	301	97	73	107
WBGene00196995	3	1	1	1	2	1	1	1
WBGene00196058	3	1	1	1	2	1	1	1
WBGene00007007	857	293	249	190	190	102	77	109
WBGene00016649	3	1	1	1	2	1	1	1
WBGene00045301	5	1	3	1	2	1	1	2
WBGene00016648	3	1	1	1	2	1	1	1
WBGene00045300	3	1	1	1	2	1	1	1
WBGene00016647	3	1	1	1	2	1	1	1
WBGene00045299	3	1	1	1	2	1	1	1
WBGene00016646	3	1	1	1	2	1	1	1
WBGene00045298	15	13	10	11	6	1	1	6
WBGene00019073	3	1	1	1	2	1	1	1
WBGene00019072	25	6	12	10	8	4	1	3
WBGene00019070	23	11	10	6	8	1	3	3
WBGene00019069	28	14	25	21	8	6	5	7
WBGene00196404	3	1	1	3	5	1	1	1
WBGene00199590	3	1	1	1	2	1	1	1
WBGene00019067	18	6	4	6	5	1	3	2
WBGene00019068	488	160	100	90	110	56	42	44
WBGene00004047	3795	1221	1286	1064	1185	440	267	357
WBGene00043705	362	112	119	89	110	48	26	47
WBGene00220181	30	8	16	9	17	11	3	8
WBGene00021924	1545	577	580	393	623	246	163	190
WBGene00021923	177	100	89	48	56	31	25	28
WBGene00021925	131	32	23	16	25	9	7	7
WBGene00021926	1140	352	206	198	210	106	58	64
WBGene00021922	1059	266	154	129	139	50	50	55
WBGene00021921	2078	767	651	601	576	258	173	200
WBGene00194825	3	1	1	1	2	1	1	1
WBGene00194822	3	1	1	1	2	1	1	1
WBGene00194823	3	2	1	1	2	1	1	1
WBGene00194824	3	1	1	1	2	1	1	1
WBGene00194826	3	1	1	1	2	1	1	1
WBGene00021927	51	11	16	9	14	6	6	8
WBGene00219762	3	2	7	3	3	1	1	2
WBGene00021928	46	16	14	16	9	6	3	4
WBGene00005903	23	1	4	1	2	1	1	1
WBGene00219399	53	9	8	9	14	9	3	2
WBGene00021929	2101	605	416	351	420	177	119	143
WBGene00021930	1029	378	142	110	116	60	44	39
WBGene00021920	763	184	115	100	100	47	44	46
WBGene00021931	40	4	7	8	9	4	2	2
WBGene00000816	1358	419	256	215	226	120	84	99
WBGene00021934	6330	1788	1452	1103	1513	569	417	477
WBGene00196098	3	1	1	1	2	1	1	1
WBGene00021933	594	185	86	96	80	57	33	25
WBGene00021932	546	181	67	34	70	28	23	22
WBGene00044462	5	1	1	3	3	1	1	1
WBGene00016637	5	11	4	1	3	1	5	1
WBGene00003893	10195	2244	1921	1803	1904	878	591	708
WBGene00005905	3	1	3	1	2	1	1	1
WBGene00005904	8	1	3	3	2	1	1	1
WBGene00202064	3	1	1	1	2	1	1	1
WBGene00016638	7994	2941	1273	1023	1267	799	575	626
WBGene00016636	3160	833	810	743	916	457	362	379
WBGene00016639	3	4	3	3	2	1	2	1
WBGene00199664	3	1	1	1	2	1	1	1
WBGene00200465	3	1	1	1	2	1	1	1
WBGene00023256	3	1	1	1	2	1	1	1
WBGene00016797	56	17	8	11	6	1	3	3
WBGene00023257	3	1	1	1	3	1	1	1
WBGene00016798	5	1	1	1	2	1	1	1
WBGene00219437	3	1	1	1	2	1	1	1
WBGene00016796	1130	329	406	317	519	157	126	156
WBGene00198147	3	1	1	1	2	1	1	1
WBGene00198949	10	1	7	3	3	1	1	1
WBGene00022426	811	186	209	165	170	109	54	74
WBGene00022428	324	79	72	70	53	31	22	22
WBGene00198533	3	1	1	1	2	1	1	1
WBGene00197287	3	1	1	1	2	1	1	1
WBGene00007020	506	160	76	66	107	54	26	44
WBGene00196875	3	1	1	1	2	1	1	1
WBGene00022427	1949	496	712	714	869	251	285	334
WBGene00196976	3	1	1	3	2	1	1	1
WBGene00202019	3	1	1	1	2	1	1	1
WBGene00001104	222	77	35	28	53	15	9	13
WBGene00023163	10	2	1	1	6	3	1	1
WBGene00001103	71	17	10	15	20	1	1	1
WBGene00021123	53	16	34	28	28	18	11	11
WBGene00044463	5	9	3	3	5	4	1	4
WBGene00021122	5	1	4	1	2	1	1	1
WBGene00021121	76	33	13	14	26	14	13	15
WBGene00021120	5	1	1	3	2	1	1	1
WBGene00009521	2594	676	762	617	759	239	200	208
WBGene00044908	10	2	1	3	2	1	2	1
WBGene00009522	33	22	16	18	17	7	7	7
WBGene00009523	51	12	27	19	23	6	3	3
WBGene00009524	5	2	1	1	3	1	1	1
WBGene00009518	159	61	30	30	26	19	13	19
WBGene00009519	8	2	3	1	2	1	1	1
WBGene00045003	3	1	1	1	2	1	1	1
WBGene00009517	20	4	8	1	6	2	3	1
WBGene00009520	5	3	4	1	6	1	1	3
WBGene00045037	5	1	1	1	2	1	1	1
WBGene00009526	51	57	13	18	15	16	9	16
WBGene00009525	5	1	1	1	2	1	1	1
WBGene00009515	139	68	23	36	34	19	9	15
WBGene00007476	319	99	47	45	34	32	20	22
WBGene00022425	1848	780	523	445	542	231	160	173
WBGene00018776	5198	1242	1363	1247	1278	542	387	427
WBGene00018778	8378	2085	2238	1992	2069	774	543	638
WBGene00018777	877	229	209	168	229	90	70	66
WBGene00023291	18	4	13	9	9	5	2	4
