GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00018680	19	9	12	14	17	13	13
WBGene00018679	8	7	8	12	14	9	10
WBGene00138717	1	2	6	10	5	7	4
WBGene00018678	10	8	10	10	17	7	11
WBGene00006738	1	7	6	8	2	2	1
WBGene00044466	4	1	4	2	2	1	1
WBGene00022297	6	2	16	10	19	10	16
WBGene00022302	1	13	8	4	10	1	2
WBGene00022296	33	12	48	31	48	39	33
WBGene00022295	15	35	44	48	69	16	14
WBGene00201141	3	1	4	4	2	1	1
WBGene00044467	13	40	22	19	12	9	3
WBGene00019873	25	11	153	141	186	23	16
WBGene00255572	1	3	2	2	2	1	4
WBGene00019875	37	16	16	19	10	15	11
WBGene00023241	1	1	6	6	17	1	2
WBGene00023240	1	1	4	8	5	1	1
WBGene00022940	1	2	2	2	2	7	1
WBGene00016025	3	1	2	4	2	5	3
WBGene00200043	1	1	2	2	2	1	1
WBGene00016024	17	5	2	8	2	11	2
WBGene00199050	1	1	2	2	2	1	1
WBGene00016023	3	682	6	21	26	63	10
WBGene00077523	3	11	4	2	5	5	3
WBGene00016918	56	10	68	66	93	39	23
WBGene00201637	1	2	2	2	2	1	1
WBGene00016917	3	2	6	4	12	7	3
WBGene00022134	219	44	471	466	542	149	94
WBGene00044650	18	5	123	95	184	20	10
WBGene00019784	1	2	2	8	2	3	3
WBGene00019783	11	13	10	12	2	6	6
WBGene00201529	3	1	14	15	10	2	1
WBGene00196218	3	2	20	14	19	1	1
WBGene00198288	4	1	18	4	14	1	2
WBGene00199490	1	1	4	2	5	1	1
WBGene00201693	5	1	4	6	5	7	2
WBGene00200681	3	1	2	4	2	1	1
WBGene00219413	1	1	2	2	2	2	1
WBGene00021415	5	10	4	10	5	5	2
WBGene00021423	156	67	1031	1069	1251	482	315
WBGene00021421	11	5	6	12	21	7	5
WBGene00197860	18	2	2	4	5	4	2
WBGene00021420	6	10	6	4	10	12	14
WBGene00021419	4	5	2	6	7	12	8
WBGene00219262	1	1	2	4	2	1	1
WBGene00200448	3	1	4	2	2	1	1
WBGene00016671	15	119	4	12	14	11	5
WBGene00200790	1	1	4	2	2	1	1
WBGene00016670	11	3	6	10	2	10	9
WBGene00016669	3	21	8	8	10	11	9
WBGene00016668	6	2	2	2	2	12	9
WBGene00001705	11	105	26	27	45	44	40
WBGene00044468	66	26	425	449	530	237	131
WBGene00235299	3	3	20	15	14	17	21
WBGene00022090	197	702	350	331	470	2376	2414
WBGene00022089	10	1329	14	12	17	1132	1201
WBGene00022087	140	769	352	321	301	6186	6660
WBGene00198527	1	1	4	2	2	1	1
WBGene00022085	31	15	4	12	7	14	3
WBGene00235288	1	5	6	4	7	2	1
WBGene00235342	1	2	2	2	2	1	1
WBGene00022083	10	7	18	21	33	7	9
WBGene00235343	3	1	2	2	2	1	1
WBGene00022082	4	3	2	4	5	2	3
WBGene00022079	17	6	6	14	14	14	9
WBGene00235294	1	6	2	6	2	3	1
WBGene00022078	11	26	22	14	12	35	30
WBGene00022077	15	4	91	99	91	19	10
WBGene00022101	3	5	8	4	5	2	2
WBGene00174384	1	1	2	2	2	1	1
WBGene00022076	5	2	26	23	19	6	2
WBGene00004878	10	6	14	12	7	4	2
WBGene00022075	5	2	4	2	2	3	3
WBGene00004367	19	12	36	48	64	37	31
WBGene00202041	1	1	6	2	2	1	3
WBGene00023390	3	1	2	2	2	1	1
WBGene00195436	3	5	2	6	14	2	1
WBGene00022074	22	10	18	12	12	31	23
WBGene00022376	33	3	8	6	10	6	4
WBGene00196975	1	1	2	2	2	1	1
WBGene00022375	6	7	22	23	24	3	3
WBGene00023396	1	2	4	2	2	2	1
WBGene00022374	9	3	18	10	19	20	10
WBGene00044485	9	7	12	15	10	28	2
WBGene00043061	8	5	2	6	7	5	3
WBGene00235350	17	20	18	10	21	16	9
WBGene00219424	8	2	18	37	26	2	2
WBGene00044486	38	3	50	52	48	5	4
WBGene00169683	1	2	2	2	2	1	1
WBGene00021868	22	20	234	215	279	22	22
WBGene00021875	1	10	2	2	5	1	1
WBGene00044487	6	7	4	2	2	5	2
WBGene00021894	3	22	2	4	2	2	1
WBGene00023180	1	1	2	2	2	4	3
WBGene00044488	10	4	2	12	5	16	3
WBGene00235268	4	26	48	72	41	24	10
WBGene00023484	8	7	22	14	19	12	5
WBGene00043062	24	26	12	19	17	21	14
WBGene00044489	4	1	2	4	2	2	1
WBGene00044490	3	1	2	2	2	2	1
WBGene00021873	9	6	6	8	5	8	4
WBGene00043702	4	2	2	4	2	5	1
WBGene00021895	29	5	14	19	5	7	7
WBGene00044495	6	2	2	12	7	9	1
WBGene00021872	5	3	2	4	7	4	5
WBGene00021871	31	9	64	52	86	34	27
WBGene00021898	42	7	36	35	48	16	6
WBGene00044493	6	2	8	6	2	4	1
WBGene00021870	33	24	83	70	88	174	45
WBGene00021897	10	8	8	12	10	4	4
WBGene00189961	19	6	8	14	10	1	2
WBGene00202412	1	1	2	2	7	1	1
WBGene00197842	3	5	8	14	14	2	3
WBGene00199274	28	3	99	110	86	18	23
WBGene00200008	4	1	8	6	10	2	3
WBGene00201650	3	1	2	14	17	4	2
WBGene00197276	1	1	2	2	2	1	1
WBGene00021869	3	7	10	12	7	19	19
WBGene00003008	1	1	2	10	5	2	2
WBGene00022067	39	7	153	151	167	57	22
WBGene00022066	4	3	4	2	2	4	2
WBGene00201412	4	1	2	4	2	1	1
WBGene00201376	3	1	2	6	7	3	1
WBGene00195576	4	1	8	12	2	2	2
WBGene00197431	8	1	22	15	17	3	4
WBGene00197636	3	1	6	6	5	2	2
WBGene00020729	19	45	42	25	57	12	8
WBGene00174542	1	1	2	2	2	1	1
WBGene00020730	5	6	20	21	31	5	4
WBGene00020728	19	6	73	66	107	11	5
WBGene00199115	1	1	2	2	2	1	1
WBGene00200723	1	9	4	2	2	1	2
WBGene00022064	3	2	4	2	7	3	2
WBGene00019766	55	49	48	54	60	49	60
WBGene00235356	3	15	4	2	5	4	5
WBGene00022059	62	242	296	321	387	219	182
WBGene00197555	1	2	2	2	2	1	1
WBGene00020831	34	21	66	37	43	21	13
WBGene00201407	1	2	2	2	2	1	1
WBGene00196782	1	1	2	2	2	1	1
WBGene00021089	9	4	18	23	24	15	9
WBGene00021087	3	11	2	2	2	2	2
WBGene00021086	4	20	2	4	5	2	1
WBGene00021085	4	20	2	4	5	3	1
WBGene00021084	4	2	2	4	2	3	1
WBGene00021082	18	6	8	14	14	3	4
WBGene00018325	67	9	377	360	477	25	23
WBGene00196320	1	1	2	2	2	1	1
WBGene00018324	18	1	8	2	2	2	4
WBGene00018323	4	11	6	4	5	4	1
WBGene00021953	6	12	8	4	10	8	3
WBGene00021952	20	7	24	19	7	26	28
WBGene00015414	1	2	2	2	2	2	2
WBGene00219410	3	1	2	2	2	1	1
WBGene00015413	9	29	6	6	10	10	5
WBGene00015412	9	4	6	6	2	3	2
WBGene00195724	1	1	2	2	2	1	1
WBGene00197323	8	1	4	2	2	1	1
WBGene00200140	1	1	2	2	2	1	1
WBGene00021033	3	2	2	4	7	4	2
WBGene00001702	6	2	4	4	5	2	1
WBGene00001692	4	1	4	2	7	1	2
WBGene00001699	13	1	2	4	2	2	2
WBGene00019049	4	1	2	4	5	5	4
WBGene00194843	3	1	4	4	5	2	1
WBGene00019051	1	2	2	2	2	1	1
WBGene00019048	4	4	4	6	2	2	1
WBGene00019047	4	3	4	6	2	2	2
WBGene00019046	1	2	4	2	2	3	1
WBGene00023301	8	1	12	10	14	10	3
WBGene00015655	3	6	2	4	2	12	2
WBGene00023463	3	5	2	2	10	4	3
WBGene00023465	3	7	2	4	10	11	16
WBGene00015654	4	7	2	8	5	13	6
WBGene00023464	3	2	28	46	29	5	3
WBGene00015653	126	19	2	2	5	1	2
WBGene00015652	1	3	2	6	2	1	2
WBGene00015651	127	130	373	327	380	146	150
WBGene00023462	5	4	10	8	17	6	7
WBGene00199025	1	1	2	2	2	1	1
WBGene00006769	51	24	42	44	48	36	27
WBGene00019778	10	6	12	6	21	12	8
WBGene00019777	15	4	36	50	53	16	12
WBGene00015037	14	4	10	14	10	12	7
WBGene00201697	1	1	2	2	2	1	1
WBGene00015036	6	10	6	6	2	5	2
WBGene00015035	10	22	10	23	10	9	4
WBGene00021375	18	45	18	19	12	5	8
WBGene00021374	22	30	22	14	14	8	11
WBGene00202239	1	2	6	4	2	1	1
WBGene00196540	1	1	2	2	2	1	1
WBGene00023366	1	1	4	4	12	1	1
WBGene00002188	9	2	2	4	2	2	2
WBGene00022609	17	2	8	6	2	3	2
WBGene00022608	29	8	4	17	10	3	8
WBGene00170259	1	1	2	2	2	1	1
WBGene00021360	6	1	16	10	21	6	2
WBGene00198923	5	2	6	12	5	12	5
WBGene00021359	37	46	42	29	45	18	14
WBGene00021358	4	2	10	2	5	1	2
WBGene00021357	8	8	4	8	2	4	4
WBGene00021365	29	43	81	104	129	24	39
WBGene00165899	1	1	4	2	2	1	1
WBGene00021369	13	10	4	4	14	9	7
WBGene00021368	8	20	4	2	10	5	2
WBGene00019546	19	37	14	19	14	31	19
WBGene00019724	13	6	8	15	14	9	4
WBGene00019723	33	19	40	33	57	17	24
WBGene00017907	58	27	64	33	33	28	11
WBGene00200865	1	1	2	2	2	1	1
WBGene00196594	1	2	2	2	2	2	1
WBGene00195822	1	1	2	4	5	1	1
WBGene00017906	13	13	6	8	5	4	3
WBGene00200814	1	1	2	2	2	1	1
WBGene00169432	1	1	2	2	2	1	1
WBGene00196379	1	5	2	2	2	2	3
WBGene00006970	23	26	10	17	5	21	7
WBGene00200340	4	1	6	2	2	1	1
WBGene00018144	8	61	4	4	2	32	24
WBGene00018143	6	21	4	10	10	6	2
WBGene00018142	8	7	2	10	2	5	2
WBGene00018141	10	3	22	33	7	5	2
WBGene00044471	1	2	4	4	2	2	1
WBGene00044472	3	2	4	2	2	3	1
WBGene00219307	9	1	6	2	7	3	3
WBGene00219304	3	2	6	4	2	2	2
WBGene00023478	9	5	8	10	5	7	2
