GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00019536	68	1	5	10	5	1	1	2
WBGene00195004	35	5	7	14	15	5	5	9
WBGene00021506	25	14	13	10	25	2	3	4
WBGene00021505	43	8	16	21	19	6	5	3
WBGene00000682	15	2	3	3	2	1	1	1
WBGene00021504	20	5	8	10	9	1	2	1
WBGene00195012	10	1	1	4	6	1	1	1
WBGene00000553	377	45	39	41	28	4	6	7
WBGene00019462	68	4	10	20	20	1	3	1
WBGene00001173	1148	57	339	423	442	51	62	63
WBGene00001186	154	22	22	39	34	2	4	6
WBGene00001253	15	4	12	10	6	2	1	1
WBGene00018681	66	15	42	60	53	9	7	12
WBGene00018680	38	15	8	9	11	2	3	2
WBGene00018679	15	6	5	8	9	1	3	2
WBGene00138717	3	2	4	6	3	1	1	2
WBGene00018678	20	6	7	6	11	2	1	1
WBGene00006738	3	4	4	5	2	1	1	1
WBGene00021655	20	8	23	16	12	1	2	2
WBGene00044466	8	2	3	1	2	1	1	2
WBGene00022297	13	3	10	6	12	3	2	1
WBGene00022302	3	3	5	3	6	1	2	1
WBGene00022300	109	23	113	106	124	24	23	30
WBGene00022296	66	12	31	20	31	9	8	7
WBGene00022295	30	14	29	31	45	4	6	7
WBGene00201141	5	1	3	3	2	1	2	2
WBGene00044467	25	4	20	16	17	1	2	3
WBGene00019873	51	11	99	91	121	21	21	27
WBGene00255572	3	1	1	1	2	1	1	1
WBGene00019875	73	7	10	13	6	1	2	4
WBGene00023241	3	1	4	4	11	3	3	4
WBGene00023240	3	1	3	5	3	1	1	1
WBGene00022940	3	1	1	1	2	1	1	1
WBGene00016025	5	1	1	3	2	1	1	1
WBGene00200043	3	1	1	1	2	1	1	1
WBGene00016024	33	3	1	5	2	1	1	1
WBGene00199050	3	1	1	1	2	1	1	1
WBGene00016023	5	1	4	14	17	1	1	1
WBGene00077523	5	1	3	1	3	1	1	1
WBGene00016918	111	14	44	43	60	8	6	2
WBGene00201637	3	1	1	1	2	1	1	1
WBGene00016917	5	4	4	3	8	1	1	2
WBGene00022134	435	24	305	302	351	31	37	38
WBGene00044650	35	14	80	61	119	28	30	40
WBGene00020208	28	7	29	33	51	8	7	6
WBGene00019784	3	1	1	5	2	1	1	1
WBGene00019783	23	2	7	8	2	1	1	1
WBGene00201529	5	2	9	10	6	2	2	1
WBGene00196218	5	2	13	9	12	5	4	2
WBGene00198288	8	4	12	3	9	1	7	1
WBGene00199490	3	1	3	1	3	1	2	1
WBGene00201693	10	1	3	4	3	1	1	3
WBGene00200681	5	1	1	3	2	1	1	2
WBGene00219413	3	1	1	1	2	1	1	1
WBGene00021415	10	2	3	6	3	1	2	1
WBGene00021423	311	95	668	694	810	167	229	194
WBGene00021421	23	1	4	8	14	1	1	1
WBGene00168399	407	168	111	104	90	58	60	74
WBGene00197860	35	7	1	3	3	1	1	1
WBGene00021420	13	5	4	3	6	3	1	1
WBGene00021419	8	2	1	4	5	1	1	1
WBGene00219262	3	1	1	3	2	1	1	1
WBGene00200448	5	1	3	1	2	1	1	1
WBGene00016671	30	4	3	8	9	1	2	1
WBGene00200790	3	1	3	1	2	1	1	1
WBGene00016670	23	3	4	6	2	1	1	1
WBGene00016669	5	2	5	5	6	1	1	1
WBGene00016668	13	1	1	1	2	1	1	1
WBGene00001705	23	14	17	18	29	12	10	9
WBGene00044468	131	42	275	291	343	80	92	123
WBGene00235299	5	4	13	10	9	4	3	3
WBGene00022090	392	103	227	214	304	93	71	81
WBGene00022089	20	9	9	8	11	2	5	2
WBGene00022087	278	73	228	208	195	46	73	57
WBGene00198527	3	1	3	1	2	1	1	1
WBGene00022086	28	1	1	5	6	1	1	1
WBGene00022085	61	6	3	8	5	1	1	1
WBGene00235288	3	1	4	3	5	1	1	1
WBGene00235342	3	1	1	1	2	1	1	1
WBGene00022083	20	4	12	14	22	2	4	6
WBGene00235343	5	1	1	1	2	1	1	1
WBGene00022082	8	2	1	3	3	1	1	1
WBGene00022079	33	6	4	9	9	1	1	1
WBGene00235294	3	1	1	4	2	1	1	1
WBGene00022078	23	6	14	9	8	1	2	1
WBGene00022077	30	6	59	64	59	4	3	3
WBGene00022101	5	2	5	3	3	1	1	1
WBGene00174384	3	1	1	1	2	1	1	1
WBGene00022076	10	1	17	15	12	4	1	1
WBGene00004878	20	2	9	8	5	1	1	1
WBGene00199492	306	2	7	6	5	1	1	2
WBGene00022075	10	1	3	1	2	1	1	1
WBGene00004367	38	12	23	31	42	9	8	10
WBGene00202041	3	1	4	1	2	1	1	1
WBGene00201684	27571	12901	1392	1255	1468	582	276	353
WBGene00023390	5	1	1	1	2	1	1	2
WBGene00195436	5	2	1	4	9	2	2	1
WBGene00022074	43	11	12	8	8	2	3	1
WBGene00022376	66	5	5	4	6	2	2	2
WBGene00196975	3	1	1	1	2	1	1	1
WBGene00022375	13	3	14	15	15	6	3	8
WBGene00023396	3	1	3	1	2	1	1	1
WBGene00022374	18	1	12	6	12	1	1	1
WBGene00044485	18	2	8	10	6	1	1	2
WBGene00043061	15	1	1	4	5	1	1	1
WBGene00235350	33	1	12	6	14	1	1	1
WBGene00219424	15	3	12	24	17	9	4	8
WBGene00044486	76	8	33	34	31	11	9	10
