GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00044908	33	2	4	3	5	1	2	1
WBGene00009522	33	22	16	18	17	7	7	7
WBGene00009523	51	12	27	19	23	6	3	3
WBGene00009524	35	2	1	3	3	1	1	1
WBGene00009518	190	61	31	31	26	19	13	19
WBGene00009519	13	2	4	4	2	1	1	1
WBGene00045003	3	1	1	1	2	1	1	1
WBGene00009517	28	4	13	5	6	2	3	1
WBGene00009520	5	3	9	8	8	1	1	3
WBGene00045037	5	1	1	1	2	1	1	1
WBGene00009526	56	57	14	21	15	16	9	16
WBGene00009525	5	1	1	1	6	1	1	1
WBGene00009515	152	70	27	36	36	19	9	15
WBGene00007476	321	99	50	45	34	32	20	22
WBGene00022425	2862	1032	660	589	694	274	204	214
WBGene00018776	6644	1504	1736	1615	1651	656	453	517
WBGene00018778	8603	2103	2288	2041	2130	780	553	644
WBGene00018777	905	229	211	168	229	90	70	66
WBGene00023291	33	6	16	9	15	5	2	6
WBGene00019054	5	1	4	3	3	1	1	2
WBGene00019053	3	1	3	1	5	1	1	1
WBGene00004338	971	209	103	93	114	52	42	37
WBGene00000678	377	52	43	51	45	10	5	9
WBGene00023304	5	1	1	1	2	1	1	1
WBGene00166535	8	1	1	1	2	1	2	1
WBGene00000679	28	1	7	4	2	1	1	1
WBGene00200943	3	1	1	1	2	1	1	1
WBGene00023305	10	1	1	3	2	1	1	1
WBGene00199889	3	2	1	1	2	1	1	1
WBGene00019052	8	1	3	1	2	1	1	1
WBGene00219265	10	1	1	1	2	1	1	1
WBGene00023397	18	1	1	1	2	1	1	1
WBGene00022423	485	112	236	190	192	66	54	76
WBGene00023202	240	11	3	1	2	1	1	1
WBGene00198926	3	1	1	1	2	1	1	1
WBGene00022314	56	16	13	13	14	3	1	1
WBGene00023392	3	1	1	1	2	1	1	1
WBGene00022309	169	32	10	8	9	5	3	4
WBGene00022310	2672	818	813	720	760	295	181	189
WBGene00199927	3	1	1	1	2	1	1	1
WBGene00002180	574	176	59	70	87	33	20	16
WBGene00022311	33	11	5	6	5	1	1	1
WBGene00022312	40	10	13	10	12	2	3	2
WBGene00235266	20	6	8	4	2	1	1	3
WBGene00235267	63	19	18	8	25	6	2	1
WBGene00000546	164	25	39	34	36	6	10	6
WBGene00000547	3206	905	750	755	689	297	197	234
WBGene00022308	10	2	4	1	5	1	1	1
WBGene00022307	703	204	177	190	215	97	63	76
WBGene00000680	25419	6054	1604	1435	1454	809	514	624
WBGene00022313	91	16	29	29	48	7	8	6
WBGene00023393	3	1	1	1	2	1	1	1
WBGene00220213	20	1	7	1	2	1	1	1
WBGene00023394	8	1	1	3	2	1	1	1
WBGene00044464	15	2	3	3	3	1	1	1
WBGene00199030	3	1	1	1	2	1	1	1
WBGene00003806	1302	441	179	167	165	87	78	80
WBGene00022306	2773	726	596	525	597	256	179	234
WBGene00198503	3	1	1	1	2	1	1	1
WBGene00019368	2222	270	426	386	399	173	92	107
WBGene00023094	1201	2	4	3	3	1	1	1
WBGene00197920	3	1	1	1	5	1	1	1
WBGene00195475	5	1	1	1	2	1	1	1
WBGene00044719	66	14	8	14	14	9	4	1
WBGene00019369	15	1	1	3	3	1	1	1
WBGene00019367	20	7	3	5	2	1	2	2
WBGene00019370	33	11	20	16	22	4	2	4
WBGene00195474	3	1	1	1	2	2	1	1
WBGene00201161	3	1	1	1	2	1	1	1
WBGene00016427	313	102	87	68	94	46	28	18
WBGene00000681	291	72	47	68	66	23	13	16
WBGene00044073	94	74	38	38	40	36	25	24
WBGene00016425	106	32	29	25	22	14	8	11
WBGene00016424	81	14	18	19	15	11	5	2
WBGene00021520	23	5	17	18	26	12	6	10
WBGene00021519	20	5	3	3	5	2	1	3
WBGene00021518	245	65	29	28	31	34	17	27
WBGene00021517	20	3	4	4	3	1	1	1
WBGene00003794	7875	2648	2721	2277	2561	967	774	832
WBGene00220152	134	92	46	34	28	21	10	8
WBGene00220153	503	166	140	109	164	50	45	40
WBGene00021516	91	21	16	9	14	4	7	3
WBGene00000416	1390	417	407	293	430	135	95	107
WBGene00021515	374	148	70	65	62	42	33	34
WBGene00021514	3691	682	779	790	763	319	206	257
WBGene00001105	106	42	22	26	31	6	6	4
WBGene00003712	245	84	65	45	73	31	18	25
WBGene00021521	25	16	9	13	17	2	3	4
WBGene00003682	61	36	30	26	32	9	10	7
WBGene00003677	179	43	52	71	46	16	19	13
WBGene00045255	58	31	27	26	28	14	7	8
WBGene00202209	5	1	1	3	2	1	1	2
WBGene00199574	3	1	1	1	2	1	1	1
WBGene00219752	3	1	1	1	2	1	1	1
WBGene00021525	91	26	21	21	19	6	1	4
