Condition	GeneID	HS % / WT % 	HS % Antisense over Sense	HS log % Antisense over Sense	HS log rowmean	HS rowmean	OK % / WT % 	OK % Antisense over Sense	OK log % Antisense over Sense	OK log rowmean	OK rowmean	TOTAL_HS_A	TOTAL_HS_S	TOTAL_OK_A	TOTAL_OK_S	TOTAL_WT_A	TOTAL_WT_S	WT % Antisense over Sense	WT log % Antisense over Sense	WT log rowmean	WT rowmean	log Condition (antisense/sense) / WT (antisense/sense) 	log HS % / WT % 	log OK % / WT % 	Antisense up in Condition
HS	WBGene00021375	9.532212885154062	1.9523809523809523	0.6690496289808848	3.4339872044851463	31.0						41.0	21.0			17	83	0.20481927710843373	-1.5856272637403819	3.912023005428146	50.0	2.2546768927212666	2.2546768927212666		True
HS	WBGene00021362	8.055555555555555	0.5555555555555556	-0.587786664902119	4.02535169073515	56.0						40.0	72.0			8	116	0.06896551724137931	-2.6741486494265287	4.127134385045092	62.0	2.0863619845244097	2.0863619845244097		True
HS	WBGene00019546	162.8	2.2	0.7884573603642703	2.772588722239781	16.0						22.0	10.0			1	74	0.013513513513513514	-4.304065093204169	3.624340932976365	37.5	5.09252245356844	5.09252245356844		True
HS	WBGene00018144	6.438095238095238	0.7428571428571429	-0.2972515234679316	3.417726683613366	30.5						26.0	35.0			6	52	0.11538461538461539	-2.159484249353372	3.367295829986474	29.0	1.8622327258854408	1.8622327258854408		True
HS	WBGene00018547	3.356719952634695	0.16341030195381884	-1.8114910510906501	5.791488055075306	327.5						92.0	563.0			24	493	0.0486815415821501	-3.0224553436947446	5.554895693948484	258.5	1.2109642926040944	1.2109642926040944		True
HS	WBGene00003955	10.802047781569966	0.040955631399317405	-3.195265959229067	5.720311776607412	305.0						24.0	586.0			8	2110	0.0037914691943127963	-5.575001684790276	6.9650803456014065	1059.0	2.3797357255612095	2.3797357255612095		True
HS	WBGene00016434	14.578209277238402	0.2815533980582524	-1.2674331582431617	4.189654742026425	66.0						29.0	103.0			9	466	0.019313304721030045	-3.9469610567894264	5.470167623474696	237.5	2.6795278985462647	2.6795278985462647		True
HS	WBGene00003668	14.23157894736842	1.368421052631579	0.3136575588550416	3.1135153092103742	22.5						26.0	19.0			5	52	0.09615384615384616	-2.341805806147327	3.349904087274605	28.5	2.6554633650023685	2.6554633650023685		True
HS	WBGene00019955	57.4978354978355	0.7532467532467533	-0.2833624113072645	4.212127597878484	67.5						58.0	77.0			3	229	0.013100436681222707	-4.33510971488613	4.7535901911063645	116.0	4.051747303578866	4.051747303578866		True
HS	WBGene00019720	36.91447368421053	4.7631578947368425	1.56091087153944	4.695924549256556	109.5						181.0	38.0			8	62	0.12903225806451613	-2.0476928433652555	3.5553480614894135	35.0	3.6086037149046954	3.6086037149046954		True
HS	WBGene00022677	76.95535714285714	0.3482142857142857	-1.054937225165448	4.324132656254979	75.5						39.0	112.0			1	221	0.004524886877828055	-5.3981627015177525	4.709530201312334	111.0	4.343225476352305	4.343225476352305		True
HS	WBGene00022680	39.375	2.9166666666666665	1.0704414117014134	3.1570004211501135	23.5						35.0	12.0			10	135	0.07407407407407407	-2.6026896854443837	4.283586561860629	72.5	3.6731310971457973	3.6731310971457973		True
HS	WBGene00017923	127.15636363636362	2.2545454545454544	0.8129483803725659	4.4942386252808095	89.5						124.0	55.0			5	282	0.01773049645390071	-4.032469158504013	4.966335035199676	143.5	4.845417538876579	4.845417538876579		True
HS	WBGene00006706	2.2777777777777777	0.007662835249042145	-4.871373226762748	7.443956209079356	1709.5						26.0	3393.0			8	2378	0.00336417157275021	-5.694573535570891	7.084226422097916	1193.0	0.8232003088081431	0.8232003088081431		True
HS	WBGene00000685	6.7562500000000005	1.46875	0.38441169891033206	3.676300671907076	39.5						47.0	32.0			10	46	0.21739130434782608	-1.5260563034950494	3.332204510175204	28.0	1.9104680024053815	1.9104680024053815		True
HS	WBGene00019164	5.9187969924812025	0.09022556390977443	-2.4054424784337534	4.976733742420574	145.0						24.0	266.0			5	328	0.01524390243902439	-4.183575695950044	5.1149953094204985	166.5	1.7781332175162898	1.7781332175162898		True
HS	WBGene00020353	48.147435897435905	1.1153846153846154	0.109199291964992	3.3141860046725258	27.5						29.0	26.0			6	259	0.023166023166023165	-3.765068592471483	4.886582645426277	132.5	3.874267884436475	3.874267884436475		True
HS	WBGene00015326	1.095728224654926	0.009162303664921465	-4.692657640111207	7.563979105437484	1927.5						35.0	3820.0			22	2631	0.008361839604713038	-4.784076827681977	7.190299173577794	1326.5	0.09141918757076951	0.09141918757076951		True
HS	WBGene00018316	10.495493107104984	0.16032608695652173	-1.8305454942632116	6.97307474510278	1067.5						295.0	1840.0			41	2684	0.015275707898658718	-4.181491431387265	7.217076526537399	1362.5	2.3509459371240533	2.3509459371240533		True
HS	WBGene00001093	7.2172413793103445	0.020689655172413793	-3.8781214537524646	6.70196036600254	814.0						33.0	1595.0			6	2093	0.002866698518872432	-5.854594253217945	6.956069139260688	1049.5	1.97647279946548	1.97647279946548		True
HS	WBGene00001439	6.191666666666666	0.041666666666666664	-3.1780538303479458	6.081076705797669	437.5						35.0	840.0			5	743	0.006729475100942127	-5.001258132283659	5.924255797414532	374.0	1.8232043019357131	1.8232043019357131		True
HS	WBGene00003636	9.063829787234042	0.0729483282674772	-2.618003920417426	5.173320876373351	176.5						24.0	329.0			4	497	0.008048289738430584	-4.822295664976738	5.523458920524919	250.5	2.2042917445593115	2.2042917445593115		True
HS	WBGene00022257	2.4221545871099366	0.03297769156159069	-3.4119239594007986	6.277582897583581	532.5						34.0	1031.0			29	2130	0.013615023474178404	-4.296581428716997	6.984253249954862	1079.5	0.8846574693161982	0.8846574693161982		True
HS	WBGene00015549	5.04	0.9333333333333333	-0.06899287148695143	3.367295829986474	29.0						28.0	30.0			5	27	0.18518518518518517	-1.6863989535702288	2.772588722239781	16.0	1.6174060820832772	1.6174060820832772		True
HS	WBGene00017054	21.5	2.0	0.6931471805599453	2.8903717578961645	18.0						24.0	12.0			4	43	0.09302325581395349	-2.374905754573672	3.1570004211501135	23.5	3.068052935133617	3.068052935133617		True
HS	WBGene00006814	1.9412440191387559	0.022105263157894735	-3.8119395468711637	6.18517928773138	485.5						21.0	950.0			11	966	0.011387163561076604	-4.475268561414148	6.191339471482838	488.5	0.6633290145429839	0.6633290145429839		True
HS	WBGene00018900	4.341085715376831	0.010482900842069084	-4.558009840483359	7.986164860332727	2940.0						61.0	5819.0			18	7454	0.0024148108398175474	-6.026134322143039	8.225770799348734	3736.0	1.4681244816596806	1.4681244816596806		True
HS	WBGene00017990	2.0861649847577	0.2574503311258278	-1.356928466315526	6.632660322035828	759.5						311.0	1208.0			126	1021	0.12340842311459353	-2.0922559112131878	6.351757936569426	573.5	0.7353274448976614	0.7353274448976614		True
HS	WBGene00018473	5.333333333333333	14.0	2.6390573296152584	4.579852378003801	97.5						182.0	13.0			210	80	2.625	0.965080896043587	4.976733742420574	145.0	1.6739764335716716	1.6739764335716716		True
HS	WBGene00004703	4.790888382687927	0.025056947608200455	-3.686604140276801	6.1092475827643655	450.0						22.0	878.0			5	956	0.005230125523012552	-5.253320000617301	6.174827228410347	480.5	1.5667158603405003	1.5667158603405003		True
HS	WBGene00003656	1.5152535240900484	0.012763868433971527	-4.361136878205324	6.938769332511306	1031.5						26.0	2037.0			14	1662	0.00842358604091456	-4.776719645800135	6.731018100482083	838.0	0.41558276759481116	0.41558276759481116		True
HS	WBGene00003837	16.689655172413794	1.1379310344827587	0.12921173148000625	3.4339872044851463	31.0						33.0	29.0			6	88	0.06818181818181818	-2.6855773452501515	3.8501476017100584	47.0	2.8147890767301575	2.8147890767301575		True
HS	WBGene00044001	85.42372881355932	0.3559322033898305	-1.0330150061822965	3.6888794541139363	40.0						21.0	59.0			1	240	0.004166666666666667	-5.480638923341991	4.791649752930709	120.5	4.447623917159695	4.447623917159695		True
HS	WBGene00002222	1.2060778727445394	0.042735042735042736	-3.152736022363656	6.056784013228625	427.0						35.0	819.0			9	254	0.03543307086614173	-3.340109689682317	4.879006851617819	131.5	0.18737366731866142	0.18737366731866142		True
HS	WBGene00012122	43.52808988764045	49.666666666666664	3.905334017277349	4.330733340286331	76.0						149.0	3.0			89	78	1.141025641025641	0.13192754304254806	4.42484663185681	83.5	3.7734064742348012	3.7734064742348012		True
HS	WBGene00003864	2.922244094488189	0.007874015748031496	-4.844187086458591	7.416979621381154	1664.0						26.0	3302.0			8	2969	0.002694509936005389	-5.916538933083924	7.305524180455831	1488.5	1.0723518466253326	1.0723518466253326		True
HS	WBGene00007760	22.673076923076923	0.6923076923076923	-0.3677247801253174	4.007333185232471	55.0						45.0	65.0			4	131	0.030534351145038167	-3.488902962081261	4.212127597878484	67.5	3.1211781819559437	3.1211781819559437		True
HS	WBGene00009881	12.53267973856209	0.19117647058823528	-1.65455834771457	4.394449154672439	81.0						26.0	136.0			9	590	0.015254237288135594	-4.182897959563546	5.702114417555504	299.5	2.528339611848976	2.528339611848976		True
HS	WBGene00007505	1.3145619335347434	0.00906344410876133	-4.703506086708953	7.063903961472068	1169.0						21.0	2317.0			25	3626	0.006894649751792609	-4.977009566446595	7.509609201095691	1825.5	0.27350347973764255	0.27350347973764255		True
HS	WBGene00007881	140.85714285714286	68.0	4.219507705176107	4.23410650459726	69.0						136.0	2.0			14	29	0.4827586206896552	-0.7282385003712154	3.068052935133617	21.5	4.947746205547322	4.947746205547322		True
HS	WBGene00011454	110.20833333333334	19.166666666666668	2.953172659135195	4.795790545596741	121.0						230.0	12.0			8	46	0.17391304347826086	-1.749199854809259	3.295836866004329	27.0	4.7023725139444545	4.7023725139444545		True
HS	WBGene00001396	1.2314665712411283	0.00933977455716586	-4.673473164381106	7.356918242356021	1567.0						29.0	3105.0			27	3560	0.007584269662921348	-4.881678957841747	7.491924296972337	1793.5	0.2082057934606419	0.2082057934606419		True
HS	WBGene00008149	13.943929173693085	0.10623946037099494	-2.2420596726061928	5.793013608384144	328.0						63.0	593.0			8	1050	0.007619047619047619	-4.877103901471733	6.270988431858299	529.0	2.6350442288655405	2.6350442288655405		True
HS	WBGene00008148	31.556451612903228	0.29723502304147464	-1.2132321297387327	5.640132447579745	281.5						129.0	434.0			6	637	0.009419152276295133	-4.665010186344109	5.772997543677674	321.5	3.4517780566053755	3.4517780566053755		True
HS	WBGene00011776	5.539568345323741	0.014388489208633094	-4.241326752570746	6.653507982616594	775.5						22.0	1529.0			3	1155	0.0025974025974025974	-5.953243334287785	6.361302477572996	579.0	1.7119165817170379	1.7119165817170379		True
HS	WBGene00001794	1.5457126920541555	0.008899143045484509	-4.721800293904148	7.333349758385467	1530.5						27.0	3034.0			13	2258	0.005757307351638618	-5.157285387248071	7.034828361545613	1135.5	0.43548509334392216	0.43548509334392216		True
HS	WBGene00007696	90.54122621564481	0.10359408033826638	-2.2672750903813066	5.564520407322694	261.0						49.0	473.0			1	874	0.0011441647597254005	-6.773080375655535	6.081076705797669	437.5	4.505805285274229	4.505805285274229		True
HS	WBGene00004140	3.3389728096676734	0.027190332326283987	-3.6048937980408438	6.234410725718371	510.0						27.0	993.0			10	1228	0.008143322475570033	-4.810557015713042	6.428105272684596	619.0	1.2056632176721984	1.2056632176721984		True
HS	WBGene00006779	28.28061224489796	0.11734693877551021	-2.1426204433013676	5.389071729816501	219.0						46.0	392.0			8	1928	0.004149377593360996	-5.484796933490655	6.875232087276577	968.0	3.3421764901892876	3.3421764901892876		True
