GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00045300	1	1	2	2	2	1	1
WBGene00016647	1	1	2	2	2	1	1
WBGene00045299	1	1	2	2	2	1	1
WBGene00016646	1	1	2	2	2	1	1
WBGene00045298	8	61	16	17	10	2	5
WBGene00019073	1	1	2	2	2	1	1
WBGene00019072	13	12	18	15	12	4	11
WBGene00019070	11	52	16	10	12	12	13
WBGene00019069	14	46	38	33	12	29	28
WBGene00196404	1	1	2	4	7	1	1
WBGene00199590	1	1	2	2	2	2	1
WBGene00019067	9	2	6	10	7	1	3
WBGene00019068	245	228	155	139	169	146	142
WBGene00004047	1908	967	1986	1644	1831	2443	2214
WBGene00043705	182	142	183	137	169	144	173
WBGene00220181	15	13	24	14	26	24	30
WBGene00021924	777	271	896	607	962	1531	1441
WBGene00021923	89	60	137	73	86	143	114
WBGene00021925	66	75	36	25	38	64	67
WBGene00021926	573	934	318	306	325	747	753
WBGene00021922	533	522	238	199	215	540	576
WBGene00021921	1045	721	1005	928	890	1548	1320
WBGene00194825	1	1	2	2	2	1	1
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	1	2	2	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021927	25	3	24	14	21	23	18
WBGene00219762	1	1	10	4	5	1	1
WBGene00021928	23	61	22	25	14	35	41
WBGene00005903	11	1	6	2	2	1	2
WBGene00219399	27	21	12	14	21	20	18
WBGene00021929	1056	736	643	542	649	1283	1437
WBGene00021930	517	846	220	170	179	686	583
WBGene00021920	384	434	177	155	155	218	263
WBGene00021931	20	49	10	12	14	42	56
WBGene00000816	682	317	395	333	348	960	930
WBGene00021934	3182	6251	2242	1704	2337	7130	6744
WBGene00196098	1	1	2	2	2	1	1
WBGene00021933	299	129	133	149	124	572	451
WBGene00021932	275	117	103	52	107	212	201
WBGene00044462	3	8	2	4	5	6	6
WBGene00016637	3	114	6	2	5	294	298
WBGene00003893	5126	10980	2967	2785	2941	4914	6292
WBGene00005905	1	1	4	2	2	2	2
WBGene00005904	4	1	4	4	2	1	1
WBGene00202064	1	1	2	2	2	1	1
WBGene00016638	4019	2076	1966	1580	1957	7697	8589
WBGene00016636	1589	259	1251	1147	1415	7839	9011
WBGene00016639	1	2	4	4	2	4	4
WBGene00199664	1	1	2	2	2	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00023256	1	1	2	2	2	1	1
WBGene00016797	28	2	12	17	10	15	10
WBGene00023257	1	1	2	2	5	1	1
WBGene00016798	3	1	2	2	2	1	3
WBGene00219437	1	1	2	2	2	1	1
WBGene00016796	568	171	626	489	802	925	915
WBGene00198147	1	1	2	2	2	1	1
WBGene00198949	5	1	10	4	5	1	2
WBGene00022426	408	406	322	255	263	474	510
WBGene00022428	163	68	111	108	81	264	248
WBGene00198533	1	1	2	2	2	1	1
WBGene00197287	1	1	2	2	2	1	1
WBGene00007020	254	68	117	102	165	280	232
WBGene00196875	1	1	2	2	2	1	1
WBGene00022427	980	1249	1100	1102	1341	943	941
WBGene00196976	1	1	2	4	2	1	1
WBGene00202019	1	1	2	2	2	1	1
WBGene00001104	112	17	54	43	81	32	31
WBGene00023163	5	2	2	2	10	4	6
WBGene00001103	36	8	16	23	31	4	7
WBGene00021123	27	16	52	43	43	51	55
WBGene00044463	3	2	4	4	7	13	9
WBGene00021122	3	1	6	2	2	3	1
WBGene00021121	38	85	20	21	41	20	24
WBGene00021120	3	1	2	4	2	1	1
WBGene00009521	1304	693	1176	953	1172	1580	1589
WBGene00044908	5	1	2	4	2	2	3
WBGene00009522	17	6	24	27	26	11	9
WBGene00009523	25	4	42	29	36	25	18
WBGene00009524	3	1	2	2	5	2	1
WBGene00009518	80	13	46	46	41	31	35
WBGene00009519	4	1	4	2	2	1	1
WBGene00045003	1	1	2	2	2	1	1
WBGene00009517	10	4	12	2	10	4	4
WBGene00009520	3	2	6	2	10	2	2
WBGene00045037	3	1	2	2	2	1	1
WBGene00009526	25	15	20	27	24	39	74
WBGene00009525	3	2	2	2	2	1	1
WBGene00009515	70	19	36	56	53	28	17
WBGene00007476	160	217	73	70	53	197	184
WBGene00022425	929	714	808	687	838	1382	1411
WBGene00018776	2613	7184	2105	1926	1974	1571	1854
WBGene00018778	4212	8274	3456	3077	3196	3018	3382
WBGene00018777	441	401	322	259	353	516	544
WBGene00023291	9	3	20	14	14	9	15
WBGene00019054	1	1	2	2	2	1	1
WBGene00019053	1	1	2	2	7	1	1
WBGene00004338	395	327	127	120	155	801	669
WBGene00000678	169	180	56	72	64	142	136
WBGene00023304	1	1	2	2	2	1	1
WBGene00166535	1	4	2	2	2	3	2
WBGene00000679	1	8	2	4	2	4	7
WBGene00200943	1	1	2	2	2	1	1
WBGene00023305	5	1	2	4	2	1	1
WBGene00199889	1	6	2	2	2	1	1
WBGene00019052	3	4	2	2	2	1	1
WBGene00219265	5	1	2	2	2	11	4
WBGene00023397	1	4	2	2	2	25	15
WBGene00022423	239	117	352	284	291	231	292
WBGene00023202	1	1	2	2	2	1	1
WBGene00198926	1	1	2	2	2	1	1
WBGene00022314	28	1	18	14	21	4	6
WBGene00023392	1	1	2	2	2	1	1
WBGene00022309	66	2	16	12	12	42	37
WBGene00022310	1310	423	1229	1100	1160	1338	1384
WBGene00199927	1	1	2	2	2	1	1
WBGene00002180	288	218	91	106	134	213	219
WBGene00022311	11	7	8	8	7	5	5
WBGene00022312	13	2	18	12	17	3	4
WBGene00235266	8	2	12	6	2	5	3
WBGene00235267	27	7	26	12	38	15	23
WBGene00000546	71	22	58	44	38	6	7
WBGene00000547	1592	1996	1146	1153	1043	1265	1371
WBGene00022308	4	2	6	2	7	4	2
WBGene00022307	346	627	272	286	329	302	394
WBGene00000680	12651	9474	2441	2189	2220	5004	4091
WBGene00022313	43	54	44	41	74	23	27
WBGene00023393	1	2	2	2	2	1	1
WBGene00220213	4	9	10	2	2	92	72
WBGene00023394	1	1	2	2	2	1	1
WBGene00044464	5	2	4	4	5	2	1
WBGene00199030	1	1	2	2	2	1	1
WBGene00003806	627	553	268	242	239	695	645
WBGene00022306	1365	1703	906	797	902	897	1089
WBGene00198503	1	1	2	2	2	1	1
WBGene00019368	515	134	653	588	613	254	324
WBGene00023094	3	1	2	2	2	1	1
WBGene00197920	1	1	2	2	2	2	1
WBGene00195475	1	1	2	2	2	1	1
WBGene00044719	33	1	12	19	19	5	5
WBGene00019369	5	2	2	2	5	1	2
WBGene00019367	9	2	4	6	2	6	4
WBGene00019370	14	12	30	19	31	12	18
WBGene00195474	1	1	2	2	2	1	1
WBGene00201161	1	1	2	2	2	1	1
WBGene00016427	150	35	133	102	143	142	144
WBGene00000681	131	328	70	87	91	311	271
WBGene00044073	47	12	58	56	62	27	31
WBGene00016425	41	18	40	33	31	36	33
WBGene00016424	32	13	16	14	17	24	21
WBGene00021520	6	21	22	25	36	10	9
WBGene00021519	9	2	2	4	5	8	6
WBGene00021518	97	32	44	37	45	63	83
WBGene00021517	6	1	4	2	5	3	2
WBGene00003794	3946	3308	4187	3500	3931	5102	5019
WBGene00220152	67	17	68	52	43	125	109
WBGene00220153	252	382	216	168	253	345	406
WBGene00021516	44	16	24	12	21	5	11
WBGene00000416	696	459	624	453	656	1013	1074
WBGene00021515	188	103	105	99	95	107	127
WBGene00021514	1849	3977	1198	1215	1174	643	851
WBGene00001105	50	59	30	35	41	20	30
WBGene00003712	117	49	101	68	107	68	53
WBGene00021521	1	1	2	2	2	1	1
WBGene00003682	22	3	32	21	26	18	14
WBGene00003677	84	111	81	102	69	36	39
WBGene00045255	28	9	40	41	43	27	22
WBGene00202209	3	1	2	4	2	1	2
WBGene00199574	1	1	2	2	2	1	1
WBGene00219752	1	1	2	2	2	1	1
WBGene00021525	44	44	30	31	29	15	13
WBGene00021513	20	16	6	6	7	14	20
WBGene00021522	587	382	643	474	606	763	759
WBGene00003297	3	1	8	6	12	2	1
WBGene00220154	6	1	18	10	24	1	1
WBGene00004497	1708	415	552	466	501	2824	2435
WBGene00021512	1220	3774	834	688	666	1350	1403
WBGene00220155	3	1	4	2	2	14	3
WBGene00021511	8	3	6	4	7	4	9
WBGene00021524	8	1	6	2	7	2	1
WBGene00200640	1	1	2	2	2	1	1
WBGene00197111	1	1	2	2	2	1	1
WBGene00044618	6	6	4	4	5	5	7
WBGene00019538	6	2	6	4	7	5	10
WBGene00003947	1159	383	743	642	840	3116	3564
WBGene00019537	2494	1574	999	1052	1034	1980	1798
WBGene00019536	10	5	8	4	7	15	14
WBGene00019540	5957	310	15539	13733	16052	2105	2622
WBGene00044293	3	10	2	2	2	5	2
WBGene00195004	3	2	6	2	5	2	2
WBGene00021507	1551	605	1440	1311	1327	1663	1666
WBGene00021508	310	145	191	153	193	319	296
WBGene00021506	1401	3971	1293	979	1160	2162	2069
WBGene00021509	46	27	81	77	62	44	36
WBGene00021505	81	51	70	60	84	14	22
WBGene00000682	3	3	2	4	2	4	1
WBGene00021504	8	1	2	2	2	2	1
WBGene00021510	128	83	133	139	131	138	127
