GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00021922	8	14	16	6	10	16	11
WBGene00021921	6	7	2	4	10	18	15
WBGene00194825	1	1	2	2	2	1	1
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	1	2	2	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021927	1	2	2	2	5	3	3
WBGene00219762	1	1	4	2	2	2	2
WBGene00021928	1	2	4	2	2	1	1
WBGene00005903	4	7	4	12	10	1	1
WBGene00219399	1	1	2	2	2	1	1
WBGene00021929	9	1	6	4	7	9	5
WBGene00021930	4	1	2	4	2	4	5
WBGene00021920	3	3	6	2	5	4	4
WBGene00021931	5	3	6	4	5	3	2
WBGene00000816	4	1	6	4	2	3	7
WBGene00021934	9	5	4	10	10	27	24
WBGene00196098	1	1	2	2	2	5	1
WBGene00021933	3	3	2	6	2	8	5
WBGene00021932	1	5	2	2	5	6	5
WBGene00044462	3	10	6	2	2	115	121
WBGene00016637	1	1	2	4	5	2	3
WBGene00003893	15	9	20	19	26	40	52
WBGene00005905	1	28	2	2	2	13	11
WBGene00005904	1	12	2	2	2	5	7
WBGene00202064	3	1	2	2	2	1	1
WBGene00016638	19	10	10	15	24	51	63
WBGene00016636	8	1	4	6	5	32	52
WBGene00016639	1	6	2	2	2	4	4
WBGene00199664	1	1	2	2	2	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00023256	3	2	2	2	2	1	1
WBGene00016797	1	5	4	4	5	2	3
WBGene00023257	1	1	2	2	2	1	1
WBGene00016798	1	1	2	2	2	1	1
WBGene00219437	1	1	2	2	2	1	1
WBGene00016796	3	16	6	6	12	14	13
WBGene00198147	5	1	10	4	5	1	2
WBGene00198949	1	1	2	2	2	1	1
WBGene00022426	1	3	2	2	2	8	6
WBGene00022428	1	1	2	2	5	1	2
WBGene00198533	1	1	10	8	7	4	4
WBGene00197287	1	2	10	12	7	5	4
WBGene00007020	3	1	2	2	2	4	3
WBGene00196875	1	1	2	4	2	1	1
WBGene00022427	5	2	12	4	12	11	6
WBGene00196976	1	1	2	2	2	1	1
WBGene00202019	1	1	2	4	2	1	1
WBGene00001104	13	32	18	21	29	10	13
WBGene00023163	9	16	6	8	12	3	3
WBGene00001103	6	6	8	4	19	6	3
WBGene00021123	3	1	2	4	2	1	1
WBGene00044463	1	1	2	2	2	1	1
WBGene00021122	1	1	4	10	12	1	1
WBGene00021121	3	2	6	8	5	1	3
WBGene00021120	3	1	2	2	2	1	1
WBGene00009521	10	1	4	2	7	14	12
WBGene00044908	3	1	4	4	2	3	1
WBGene00009522	8	1	2	4	2	1	1
WBGene00009523	1	1	2	2	5	2	1
WBGene00009524	3	1	2	4	2	2	2
WBGene00009518	4	1	4	2	5	2	1
WBGene00009519	1	1	2	4	5	1	2
WBGene00045003	1	1	2	2	2	2	1
WBGene00009517	1	1	2	2	5	1	2
WBGene00009520	4	2	10	15	7	2	1
WBGene00045037	1	1	2	2	2	1	1
WBGene00009526	4	2	2	2	2	1	1
WBGene00009525	1	1	4	2	2	1	1
WBGene00009515	3	2	2	2	5	1	2
WBGene00007476	1	3	6	4	2	2	2
WBGene00022425	14	7	6	8	19	6	5
WBGene00018776	15	9	14	14	26	17	14
WBGene00018778	22	8	24	25	19	26	27
WBGene00018777	3	1	4	6	17	8	7
WBGene00023291	1	2	2	2	2	1	2
WBGene00019054	1	2	2	2	2	1	1
WBGene00019053	1	2	2	2	2	2	1
WBGene00004338	1	3	2	2	7	5	4
WBGene00000678	1	2	8	2	2	2	2
WBGene00023304	1	1	2	2	2	1	1
WBGene00166535	1	1	2	2	2	1	1
WBGene00000679	4	1	4	4	2	2	2
WBGene00200943	1	1	2	2	2	1	1
WBGene00023305	1	1	2	2	2	1	2
WBGene00199889	3	2	4	2	7	1	2
WBGene00019052	3	1	8	8	7	4	2
WBGene00219265	1	2	6	8	2	6	5
WBGene00023397	5	1	8	10	10	11	23
WBGene00022423	4	7	2	4	5	7	10
WBGene00023202	1	1	2	4	2	1	1
WBGene00198926	1	1	2	2	2	2	2
WBGene00022314	1	1	4	2	2	2	3
WBGene00023392	1	1	2	2	2	1	1
WBGene00022309	3	1	2	2	2	2	2
WBGene00022310	8	1	6	8	2	7	6
WBGene00199927	1	1	2	4	2	1	1
WBGene00002180	1	5	2	2	7	1	2
WBGene00022311	5	30	2	4	5	141	140
WBGene00022312	3	51	2	2	5	65	77
WBGene00235266	23	26	2	4	5	31	37
WBGene00235267	5	87	2	2	2	20	26
WBGene00000546	5	16	2	8	10	44	43
WBGene00000547	3	45	16	19	10	37	41
WBGene00022308	4	2	2	2	2	2	1
WBGene00022307	8	16	6	2	7	23	27
WBGene00000680	50	9	32	15	45	49	68
WBGene00022313	1	2	2	6	5	4	6
WBGene00023393	1	1	2	2	2	1	1
WBGene00220213	3	1	2	4	5	1	1
WBGene00023394	1	1	2	2	2	1	1
WBGene00044464	1	1	2	2	2	2	1
WBGene00199030	1	1	2	2	2	1	1
WBGene00003806	3	2	4	4	2	4	3
WBGene00022306	5	27	16	4	12	11	5
WBGene00198503	1	1	2	2	2	1	1
WBGene00019368	1	1	2	2	2	2	3
WBGene00023094	1	1	2	2	2	1	1
WBGene00197920	3	1	2	2	2	1	1
WBGene00195475	1	1	2	2	2	1	1
WBGene00044719	1	2	2	2	2	1	1
WBGene00019369	1	1	2	2	2	2	1
WBGene00019367	3	4	2	4	5	2	2
WBGene00019370	3	2	4	4	7	1	4
WBGene00195474	1	1	2	2	2	1	1
WBGene00201161	1	1	2	2	2	1	1
WBGene00016427	1	8	2	4	5	7	8
WBGene00000681	4	2	2	4	7	5	6
WBGene00044073	9	2	20	23	19	5	4
WBGene00016425	19	35	14	14	33	5	5
WBGene00016424	19	16	22	25	21	7	3
WBGene00021520	27	12	58	31	53	7	12
WBGene00021519	17	5	34	23	19	11	7
WBGene00021518	25	2	56	21	38	15	8
WBGene00021517	47	15	48	39	41	24	20
WBGene00003794	29	18	28	21	24	78	75
WBGene00220152	1	1	2	2	2	1	1
WBGene00220153	1	1	2	2	5	4	5
WBGene00021516	60	43	169	137	141	21	19
WBGene00000416	3	1	4	10	2	9	6
WBGene00021515	1	2	4	2	5	4	2
WBGene00021514	4	2	6	4	5	5	5
WBGene00001105	4	2	6	2	2	2	1
WBGene00003712	1	2	4	2	2	2	3
WBGene00021521	1	2	2	4	2	1	2
WBGene00003682	4	2	18	29	17	2	1
WBGene00003677	6	78	6	12	12	4	7
WBGene00045255	6	19	10	8	5	2	4
WBGene00202209	1	1	2	2	2	1	1
WBGene00199574	3	1	2	4	2	1	1
WBGene00219752	3	1	2	4	5	1	1
WBGene00021525	1	2	2	2	2	3	1
WBGene00021513	3	1	4	6	10	5	2
WBGene00021522	1	1	4	4	5	3	3
WBGene00003297	1	1	2	2	2	1	1
WBGene00220154	1	1	2	2	2	1	1
WBGene00004497	4	1	4	4	2	9	11
WBGene00021512	5	4	14	17	33	10	17
WBGene00220155	1	1	2	2	2	1	1
WBGene00021511	5	2	2	2	2	1	1
WBGene00021524	3	2	2	4	2	2	1
WBGene00200640	1	1	2	2	2	1	1
WBGene00197111	1	1	2	2	2	1	1
WBGene00044618	1	3	2	2	2	2	1
WBGene00019538	5	6	2	2	5	1	7
WBGene00003947	20	2	18	21	21	64	116
WBGene00019537	19	2	16	4	14	13	13
WBGene00019536	8	1	2	6	2	2	1
WBGene00019540	17	2	64	66	122	18	13
WBGene00044293	4	6	2	10	7	7	5
WBGene00195004	18	2	8	19	19	4	3
WBGene00021507	4	7	14	8	7	10	16
WBGene00021508	4	2	2	6	10	6	6
WBGene00021506	9	10	6	10	24	19	13
WBGene00021509	4	11	6	12	5	9	8
WBGene00021505	13	10	16	23	26	3	3
WBGene00000682	3	1	4	4	2	1	1
WBGene00021504	4	1	2	4	2	1	2
WBGene00021510	1	2	2	4	5	3	2
WBGene00198094	1	1	2	2	2	1	1
WBGene00021410	3	1	2	6	2	4	1
WBGene00004913	1	1	2	2	5	1	1
WBGene00000683	3	2	2	4	2	2	3
WBGene00195012	1	2	2	2	2	1	1
WBGene00000553	3	1	4	2	2	1	3
WBGene00019462	4	4	2	2	2	1	2
WBGene00197160	1	1	2	2	2	1	1
WBGene00198204	3	1	6	4	7	1	1
WBGene00001173	23	21	28	19	31	35	44
WBGene00201394	3	2	4	15	7	1	3
WBGene00001186	10	21	4	2	7	11	16
WBGene00198086	1	1	6	4	5	1	1
WBGene00195510	8	2	8	6	5	1	2
WBGene00196527	3	1	4	8	5	1	2
WBGene00001253	4	11	2	2	2	2	4
WBGene00018681	15	8	14	19	21	20	20
WBGene00018680	1	1	8	2	2	4	2
WBGene00018679	6	2	8	10	12	7	9
WBGene00138717	1	1	4	8	5	1	2
WBGene00018678	3	2	4	6	12	4	9
WBGene00006738	1	5	6	8	2	2	1
WBGene00021655	4	3	8	8	7	5	5
WBGene00044466	4	1	2	2	2	1	1
WBGene00022298	3	1	4	10	10	7	5
WBGene00022297	3	1	8	4	5	7	7
WBGene00022302	1	13	6	2	7	1	2
WBGene00022300	8	50	12	6	14	8	12
WBGene00220211	1	1	2	2	2	1	1
WBGene00022296	24	9	22	12	12	30	31
WBGene00022301	5	7	22	25	10	16	18
WBGene00022303	1	4	2	2	5	1	1
WBGene00022295	6	5	18	15	21	3	4
WBGene00201141	1	1	2	4	2	1	1
WBGene00044467	1	1	6	4	7	1	1
WBGene00019874	3	1	4	4	10	2	1
WBGene00019873	1	3	2	2	2	1	2
WBGene00255572	1	2	2	2	2	1	4
WBGene00202224	1	2	4	2	2	1	1
WBGene00019875	6	2	10	6	5	5	7
WBGene00044649	1	2	2	2	2	1	1
WBGene00023241	1	1	2	2	2	1	1
WBGene00023240	1	1	2	6	5	1	1
WBGene00023242	1	1	2	2	2	1	1
WBGene00022940	1	2	2	2	2	1	1
WBGene00219423	5	1	2	2	2	1	1
WBGene00000487	3	1	2	2	2	2	2
WBGene00016027	1	2	4	2	2	2	2
WBGene00016025	1	1	2	2	2	3	2
WBGene00200043	1	1	2	2	2	1	1
WBGene00016024	5	1	2	2	2	1	1
WBGene00001729	1	2	4	2	2	1	2
WBGene00199050	1	1	2	2	2	1	1
WBGene00016023	1	14	2	8	7	16	2
WBGene00077523	1	2	2	2	2	2	2
WBGene00016918	13	2	4	2	14	11	10
WBGene00235274	6	11	22	21	31	4	3
WBGene00016920	5	1	2	4	2	2	1
WBGene00001557	4	2	2	2	7	2	1
WBGene00219665	1	1	2	2	2	1	1
WBGene00016919	4	2	4	2	2	1	1
WBGene00195956	1	1	4	2	2	1	1
WBGene00201637	1	1	2	2	2	1	1
WBGene00016917	1	1	4	2	5	2	1
WBGene00198825	1	1	4	2	2	2	2
WBGene00202203	1	1	2	2	2	1	1
WBGene00201391	1	1	2	2	2	1	1
WBGene00022134	6	4	8	12	24	18	20
WBGene00220196	1	1	2	2	2	1	1
WBGene00044650	3	2	2	4	5	8	7
WBGene00235277	4	1	8	6	14	3	1
WBGene00020208	5	82	8	8	24	23	19
WBGene00202285	6	1	14	14	10	1	2
WBGene00019785	1	1	2	2	2	1	1
WBGene00019784	1	2	2	2	2	3	3
WBGene00019783	5	2	4	2	2	2	2
WBGene00019786	4	2	4	2	7	5	6
WBGene00201529	3	1	8	8	7	1	1
WBGene00196218	1	2	20	14	17	1	1
WBGene00195460	1	1	2	2	2	1	1
WBGene00198288	4	1	18	4	14	1	2
WBGene00200246	1	1	2	2	5	1	1
WBGene00199490	1	1	4	2	5	1	1
WBGene00202308	1	1	2	2	2	1	1
WBGene00200102	1	1	2	2	2	1	1
WBGene00019787	1	3	2	2	5	2	2
WBGene00002990	11	7	4	12	14	2	2
