GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00021418	217	58	63	60	31	23	14	27
WBGene00021425	1863	540	741	586	661	212	143	165
WBGene00021427	1416	291	201	224	216	90	77	99
WBGene00197069	35	7	1	3	3	1	1	1
WBGene00200383	3	1	1	1	2	1	1	1
WBGene00199427	3	1	1	1	2	1	1	1
WBGene00021428	48	19	3	16	15	1	1	1
WBGene00021430	264365	120729	4992	4978	4737	6093	5974	5498
WBGene00197721	3	1	1	1	2	1	1	1
WBGene00000402	657	69	201	160	219	49	32	42
WBGene00195361	3	1	1	1	2	1	1	1
WBGene00022092	1312	388	181	167	187	86	69	74
WBGene00197723	3	1	1	1	2	1	1	1
WBGene00022093	179	47	43	30	36	11	9	7
WBGene00175009	3	1	1	1	2	1	1	1
WBGene00022094	10	2	5	3	3	2	1	1
WBGene00235341	10	1	4	4	5	1	3	1
WBGene00022095	18	1	1	1	2	1	1	1
WBGene00165490	3	1	1	3	2	1	1	1
WBGene00022096	109	19	44	60	70	11	8	10
WBGene00022097	5	1	1	4	2	1	1	1
WBGene00022099	612	107	99	128	94	41	25	34
WBGene00003595	68	16	12	31	25	8	7	6
WBGene00003161	1979	503	619	511	624	176	164	155
WBGene00022100	27975	12998	1608	1453	1641	630	318	396
WBGene00195990	5	1	1	1	6	1	2	1
WBGene00022377	28	8	12	4	14	4	5	2
WBGene00235346	602	151	784	531	893	219	214	300
WBGene00235348	73	23	99	79	108	40	18	21
WBGene00044651	3049	799	1196	1052	1141	381	289	345
WBGene00022378	3838	802	1149	986	1096	372	297	299
WBGene00006705	599	164	128	104	124	50	36	54
WBGene00022382	779	171	90	113	90	51	30	53
WBGene00050885	172	47	42	44	29	20	13	24
WBGene00220216	20	2	47	73	45	5	5	8
WBGene00022379	200	59	123	153	172	42	35	55
WBGene00022380	1873	370	320	294	287	121	100	120
WBGene00022381	1893	418	274	267	345	130	98	108
WBGene00198581	3	1	1	1	2	1	1	1
WBGene00021876	1921	484	998	829	1022	301	265	294
WBGene00021877	951	209	370	373	382	109	90	94
WBGene00045397	114	34	63	50	56	19	21	17
WBGene00199591	3	1	1	1	2	1	1	1
WBGene00023182	3	21	1	1	2	1	1	1
WBGene00201830	3	2	1	1	2	1	1	1
WBGene00021878	164	15	63	58	70	13	11	8
WBGene00171446	3	1	1	1	2	1	1	1
WBGene00044491	40	9	7	5	12	3	1	2
WBGene00021879	369	131	113	74	116	48	38	43
WBGene00021880	48	3	5	13	3	3	1	1
WBGene00044492	76	6	12	15	9	4	2	2
WBGene00021881	139	34	61	61	63	16	3	8
WBGene00021882	4892	619	1808	1555	1972	432	404	501
WBGene00195623	3	1	1	1	2	1	1	2
WBGene00021883	1219	388	183	167	227	85	71	83
WBGene00021884	172	50	21	19	19	15	7	4
WBGene00021885	78	12	14	14	19	6	5	7
WBGene00021886	2844	673	1296	1079	1179	310	215	274
WBGene00021887	468	142	170	138	164	69	52	61
WBGene00006708	801	257	355	339	376	149	99	114
WBGene00021888	1909	708	393	338	326	196	124	178
WBGene00021889	23	3	3	5	3	1	1	3
WBGene00002243	217	72	64	73	79	21	14	22
WBGene00195988	3	1	1	1	5	1	1	1
WBGene00196817	5	1	1	1	5	1	1	1
WBGene00021890	2968	699	2058	1792	2284	564	483	547
WBGene00200823	5	1	1	9	9	1	3	2
WBGene00021891	18	1	10	13	15	4	4	6
WBGene00219425	1203	285	592	570	646	219	164	164
WBGene00021892	28	11	43	28	39	11	5	8
WBGene00200607	5	1	1	1	3	1	2	1
WBGene00021893	192	56	50	40	59	14	10	11
WBGene00022069	59057	16789	26566	23781	24903	8627	5608	6583
WBGene00235353	71	21	86	74	93	20	17	27
WBGene00022070	25	7	3	5	6	2	1	2
WBGene00022071	33	2	8	11	8	1	1	1
WBGene00022072	1067	136	104	133	142	33	25	33
WBGene00235279	22039	5	339	333	238	3	2	3
WBGene00022073	334	112	188	160	173	49	44	49
WBGene00198247	3	1	1	1	2	1	1	1
WBGene00003153	16978	5437	8608	7616	8893	2824	2238	2546
WBGene00201211	3	1	1	1	2	1	1	2
WBGene00022061	43	7	12	10	14	3	4	2
WBGene00022063	61	19	18	16	26	5	7	4
WBGene00022062	25	10	13	14	8	2	3	3
WBGene00219764	8	2	3	1	8	1	1	1
WBGene00004240	273	94	65	60	59	27	19	15
WBGene00201731	3	1	5	1	5	1	1	1
WBGene00022060	116	16	35	31	37	11	8	4
WBGene00003363	3	1	1	3	2	1	1	1
WBGene00020832	10	2	4	3	8	1	1	1
WBGene00044469	109	49	29	28	26	16	22	16
WBGene00020833	121	47	59	41	71	19	17	10
WBGene00198565	3	1	1	4	2	1	1	1
WBGene00001548	101	20	44	49	29	6	3	7
WBGene00021090	5	1	7	4	3	1	1	1
WBGene00018326	96	23	12	15	12	6	3	8
WBGene00018327	116	30	21	18	25	6	4	7
WBGene00018328	159	79	47	53	51	26	15	21
WBGene00001999	10026	2241	2421	1893	2096	1025	760	962
WBGene00018329	13	1	3	3	3	1	1	1
